DocEntry,DocNum,CardCode,NumAtCard,DocDate,DocDueDate,DocStatus,Cancelled,Comments,SlpCode,CreateDate,UpdateDate
257,257,C00108,ARCO-2022-00168,2025-03-07,2025-04-24,O,N,,5,2025-03-07,2025-03-30
258,258,C00188,ARCO-2025-00349,2025-11-23,2026-02-05,C,N,Pedido complementar,18,2025-11-23,2025-12-07
259,259,C00064, ARCO-2024-00377,2025-07-29,2025-10-25,C,N,Pedido complementar,6,2025-07-29,2025-08-27
260,260,C00154,,2024-04-08,2024-07-06,O,N,Urgente,23,2024-04-08,2024-05-06
261,261,C00064,ARCO-2025-00100,2025-05-28,2025-08-14,C,N,Reposição,6,2025-05-28,2025-06-11
262,262,C00203,ARCO-2024-00004,2024-08-17,2024-09-07,O,N,Pedido complementar,13,2024-08-17,2024-09-08
263,263,C00245,,2022-07-01,2022-09-23,C,N,,8,2022-07-01,2022-07-26
264,264,C00052,ARCO - 2023 - 00084,2024-06-04,2024-08-20,O,N,,17,2024-06-04,2024-06-26
265,265,C00246, ARCO-2025-00350,2024-04-09,2024-05-31,C,Y,Reposição,20,2024-04-09,2024-05-08
266,266,C00069,ARCO-2023-00084,2024-07-31,2024-10-02,C,N,Pedido complementar,16,2024-07-31,2024-08-05
267,267,C00133,ARCO-2022-00243,2025-06-27,2025-08-01,O,N,,14,2025-06-27,2025-07-17
268,268,C00073,ARCO-2022-00123,2022-02-14,2022-05-13,O,N,,23,2022-02-14,2022-02-16
269,269,C00217,ARCO-2022-00117,2022-12-25,2023-03-16,C,N,,4,2022-12-25,2023-01-24
270,270,C00153,ARCO-2024-00037,2024-12-11,2025-01-14,C,Y,Pedido complementar,5,2024-12-11,2024-12-26
271,271,C00170,,2022-06-22,2022-08-18,C,N,,19,2022-06-22,2022-07-20
272,272,C00200,ARCO-2025-00227,2025-03-10,2025-04-02,O,N,,11,2025-03-10,2025-03-13
273,273,C00016,ARCO-2024-00202,2023-05-19,2023-06-30,O,N,Urgente,10,2023-05-19,2023-06-08
274,274,C00078,,2024-10-06,2024-12-17,C,N,,14,2024-10-06,2024-11-05
275,275,C00039,ARCO-2022-00372,2022-03-11,2022-05-15,C,N,Pedido complementar,23,2022-03-11,2022-03-26
276,276,C00015,,2024-06-26,2024-07-11,O,N,,1,2024-06-26,2024-07-03
277,277,C00194,,2023-11-18,2024-01-12,O,N,,14,2023-11-18,2023-11-22
278,278,C00148,ARCO-2025-00020,2025-12-21,2026-02-12,O,N,Urgente,14,2025-12-21,2025-12-29
279,279,C00010,ARCO-2025-00223,2024-01-22,2024-04-10,O,N,Urgente,16,2024-01-22,2024-01-26
280,280,C00191,ARCO-2024-00002,2024-05-30,2024-07-04,O,N,,22,2024-05-30,2024-06-21
281,281,C00208,ARCO-2023-00261,2024-01-01,2024-03-07,C,N,Pedido complementar,9,2024-01-01,2024-01-03
282,282,C00145,ARCO-2025-00137,2024-09-21,2024-12-20,O,N,,19,2024-09-21,2024-10-09
283,283,C00249,ARCO-2024-00278,2025-05-10,2025-06-03,C,N,Pedido complementar,25,2025-05-10,2025-05-26
284,284,C00219,ARCO-2024-00379,2023-10-08,2023-12-02,O,N,Reposição,10,2023-10-08,2023-10-30
285,285,C00107,ARCO-2024-00214,2024-06-12,2024-08-03,O,N,Pedido complementar,19,2024-06-12,2024-06-19
286,286,C00132,,2022-07-27,2022-08-27,O,N,Reposição,11,2022-07-27,2022-08-14
287,287,C00039,ARCO-2024-00054,2023-08-14,2023-11-08,C,N,,23,2023-08-14,2023-08-14
288,288,C00038,ARCO-2023-00231,2025-12-02,2026-01-06,O,N,Reposição,22,2025-12-02,2025-12-18
289,289,C00156,,2023-09-07,2023-10-14,O,N,Pedido complementar,23,2023-09-07,2023-09-21
290,290,C00262,ARCO-2025-00033,2024-10-23,2025-01-13,O,N,,11,2024-10-23,2024-10-29
291,291,C00231,ARCO-2024-00280,2022-04-29,2022-06-25,C,N,,21,2022-04-29,2022-05-01
292,292,C00199,ARCO-2022-00197,2023-02-14,2023-04-02,C,N,Urgente,19,2023-02-14,2023-02-23
293,293,C00240,ARCO-2024-00295,2023-07-10,2023-09-13,O,N,,1,2023-07-10,2023-07-26
294,294,C00220,ARCO-2025-00320,2024-03-03,2024-04-11,C,N,,17,2024-03-03,2024-03-30
295,295,C00228,ARCO-2023-00203,2022-04-14,2022-07-07,O,N,,23,2022-04-14,2022-04-27
296,296,C00043,ARCO-2023-00068 ,2023-10-23,2023-12-22,C,N,Pedido complementar,3,2023-10-23,2023-11-08
297,297,C00209,,2023-11-08,2024-01-25,C,N,,12,2023-11-08,2023-11-18
298,298,C00184,,2023-12-23,2024-01-19,O,N,Urgente,23,2023-12-23,2023-12-31
299,299,C00003,ARCO-2023-00198,2023-11-23,2024-02-12,C,N,,16,2023-11-23,2023-12-02
300,300,C00030,ARCO-2023-00213,2023-06-07,2023-08-02,O,N,,25,2023-06-07,2023-07-04
301,301,C00155,ARCO-2025-00263,2024-08-25,2024-10-16,O,N,,13,2024-08-25,2024-08-31
302,302,C00209,,2024-05-22,2024-06-08,C,N,,12,2024-05-22,2024-06-17
303,303,C00241,,2022-05-11,2022-07-22,O,N,Urgente,23,2022-05-11,2022-05-17
304,304,C00024,,2023-09-03,2023-10-22,O,N,Reposição,11,2023-09-03,2023-09-23
305,305,C00211,ARCO-2025-00024,2023-11-13,2023-12-04,C,N,Reposição,25,2023-11-13,2023-11-20
306,306,C00016,,2023-07-24,2023-08-16,O,N,Reposição,10,2023-07-24,2023-07-24
307,307,C00222,ARCO-2025-00311,2024-09-19,2024-12-16,C,N,,18,2024-09-19,2024-09-29
308,308,C00079,ARCO-2024-00057,2024-03-08,2024-04-26,C,Y,,10,2024-03-08,2024-04-06
309,309,C00022,ARCO-2024-00182,2024-02-13,2024-04-30,C,N,,1,2024-02-13,2024-03-02
310,310,C00165,ARCO-2022-00328,2025-03-19,2025-05-05,O,N,Reposição,11,2025-03-19,2025-04-14
311,311,C00024, ARCO-2023-00222,2023-05-29,2023-07-17,O,N,,11,2023-05-29,2023-06-23
312,312,C00120,,2023-12-26,2024-03-17,C,N,,13,2023-12-26,2024-01-05
313,313,C00144,ARCO-2023-00009,2023-10-02,2023-11-05,O,N,Reposição,8,2023-10-02,2023-10-25
314,314,C00226,ARCO-2025-00242,2024-06-13,2024-08-25,C,N,,16,2024-06-13,2024-07-04
315,315,C00159,ARCO-2024-00218,2025-11-07,2026-01-27,O,N,Reposição,3,2025-11-07,2025-11-23
316,316,C00067,,2023-10-18,2024-01-07,C,N,,18,2023-10-18,2023-10-21
317,317,C00216,ARCO-2023-00332,2022-12-11,2023-02-18,O,N,,18,2022-12-11,2023-01-03
318,318,C00193,ARCO-2024-00144,2024-05-10,2024-07-25,C,N,,9,2024-05-10,2024-05-13
319,319,C00228,ARCO-2024-00002,2023-01-08,2023-04-08,O,N,Pedido complementar,23,2023-01-08,2023-02-06
320,320,C00045,ARCO-2024-00272,2022-07-04,2022-09-16,C,N,,21,2022-07-04,2022-07-28
321,321,C00076,,2024-01-11,2024-03-09,C,N,Reposição,17,2024-01-11,2024-01-28
322,322,C00012,,2022-11-09,2022-12-24,O,N,,6,2022-11-09,2022-11-16
323,323,C00243,ARCO-2025-00320,2025-04-01,2025-04-19,O,N,,19,2025-04-01,2025-04-16
324,324,C00029,ARCO-2022-00220,2023-07-13,2023-10-05,C,N,Reposição,3,2023-07-13,2023-07-21
325,325,C00239,,2025-04-04,2025-05-30,C,N,Urgente,9,2025-04-04,2025-04-17
326,326,C00258,ARCO-2025-00104,2022-06-08,2022-08-31,C,N,,14,2022-06-08,2022-07-04
327,327,C00232,ARCO-2024-00237,2023-12-24,2024-03-22,O,N,Reposição,6,2023-12-24,2023-12-25
328,328,C00155,ARCO-2025-00312,2025-07-08,2025-09-10,O,N,Reposição,13,2025-07-08,2025-07-14
329,329,C00262,ARCO-2025-00263,2023-02-25,2023-05-18,O,N,,11,2023-02-25,2023-03-18
330,330,C00246,ARCO-2023-00078,2024-03-28,2024-04-25,O,N,Pedido complementar,20,2024-03-28,2024-04-22
331,331,C00015,ARCO-2022-00171,2025-01-25,2025-04-19,O,N,Reposição,1,2025-01-25,2025-02-14
332,332,C00199,,2022-07-21,2022-10-09,O,N,,19,2022-07-21,2022-08-10
333,333,C00254,ARCO-2024-00206,2025-05-05,2025-05-24,C,Y,Reposição,7,2025-05-05,2025-05-09
334,334,C00113,ARCO-2023-00076,2022-10-22,2022-12-25,C,N,,20,2022-10-22,2022-10-29
335,335,C00141,,2024-11-13,2025-01-22,C,N,Urgente,24,2024-11-13,2024-12-12
336,336,C00024,ARCO-2022-00162 ,2023-11-03,2024-01-15,C,N,Reposição,11,2023-11-03,2023-11-28
337,337,C00116,,2023-01-27,2023-03-26,C,N,,9,2023-01-27,2023-02-21
338,338,C00250,arco-2024-00379,2025-09-09,2025-10-21,O,N,,15,2025-09-09,2025-09-29
339,339,C00022,ARCO-2024-00163,2022-03-09,2022-05-08,O,N,Reposição,1,2022-03-09,2022-03-24
340,340,C00114,ARCO-2023-00364,2023-06-24,2023-07-14,C,N,Reposição,15,2023-06-24,2023-07-11
341,341,C00108,ARCO-2023-00040,2023-09-24,2023-12-09,O,N,Pedido complementar,5,2023-09-24,2023-09-27
342,342,C00079,,2025-08-20,2025-10-15,O,N,Reposição,10,2025-08-20,2025-09-03
343,343,C00059,ARCO-2024-00202,2024-12-29,2025-01-22,O,N,Urgente,17,2024-12-29,2025-01-26
344,344,C00231,arco-2023-00276,2023-04-21,2023-06-13,C,N,Reposição,21,2023-04-21,2023-04-30
345,345,C00135,ARCO-2022-00243,2023-08-24,2023-09-11,O,N,Urgente,12,2023-08-24,2023-09-16
346,346,C00219,,2022-02-14,2022-03-09,C,N,,10,2022-02-14,2022-03-05
347,347,C00164,ARCO-2024-00256,2023-03-03,2023-04-02,C,N,Urgente,1,2023-03-03,2023-03-14
348,348,C00232,ARCO-2023-00083,2025-12-11,2026-01-13,C,N,Reposição,6,2025-12-11,2025-12-23
349,349,C00107,ARCO-2024-00070,2022-07-01,2022-08-27,C,N,Pedido complementar,19,2022-07-01,2022-07-22
350,350,C00156,ARCO-2022-00117,2023-09-07,2023-10-03,C,N,Pedido complementar,23,2023-09-07,2023-09-18
351,351,C00036,ARCO-2024-00321,2025-01-05,2025-02-20,C,N,Urgente,11,2025-01-05,2025-01-05
352,352,C00239,,2023-09-07,2023-10-29,C,N,Pedido complementar,9,2023-09-07,2023-09-15
353,353,C00200,ARCO-2022-00063,2025-07-18,2025-10-14,C,N,Pedido complementar,11,2025-07-18,2025-07-20
354,354,C00250,ARCo-2022-00313,2024-06-24,2024-07-09,C,Y,,15,2024-06-24,2024-07-22
355,355,C00085, ARCO-2024-00341,2025-02-04,2025-02-28,C,N,,7,2025-02-04,2025-02-11
356,356,C00154,,2025-09-29,2025-12-14,C,N,,23,2025-09-29,2025-10-21
357,357,C00131,,2023-02-21,2023-05-09,C,N,Pedido complementar,19,2023-02-21,2023-02-25
358,358,C00065,ARCO-2022-00148,2023-05-10,2023-06-19,O,N,Urgente,17,2023-05-10,2023-06-09
359,359,C00179,,2022-03-02,2022-05-29,C,N,,21,2022-03-02,2022-03-05
360,360,C00097,ARCO-2022-00232,2025-05-13,2025-07-15,C,N,,6,2025-05-13,2025-05-13
361,361,C00072,,2024-03-18,2024-05-02,C,N,,6,2024-03-18,2024-03-22
362,362,C00066,ARCO-2025-00358,2023-07-05,2023-10-03,C,Y,,18,2023-07-05,2023-07-28
363,363,C00225,,2025-02-08,2025-03-23,C,N,Reposição,13,2025-02-08,2025-03-03
364,364,C00009,ARCO-2022-00232,2023-11-02,2023-12-06,C,N,Urgente,20,2023-11-02,2023-11-05
365,365,C00141,ARCO-2023-00316,2023-05-18,2023-07-16,O,N,Urgente,24,2023-05-18,2023-06-16
366,366,C00185,ARCO-2024-00158 ,2022-04-18,2022-05-17,C,N,Urgente,2,2022-04-18,2022-05-12
367,367,C00066,ARCO-2025-00035,2024-01-01,2024-03-04,C,N,,18,2024-01-01,2024-01-19
368,368,C00081,ARCO-2022-00249,2024-02-09,2024-03-28,O,N,,24,2024-02-09,2024-02-09
369,369,C00111,,2025-01-26,2025-03-23,O,N,Pedido complementar,5,2025-01-26,2025-02-20
370,370,C00172,ARCO-2023-00374,2023-03-03,2023-04-21,C,N,,4,2023-03-03,2023-03-31
371,371,C00205,ARCO-2023-00093,2025-01-02,2025-02-15,C,Y,Urgente,6,2025-01-02,2025-01-26
372,372,C00124,,2022-05-16,2022-07-02,C,N,Pedido complementar,25,2022-05-16,2022-06-08
373,373,C00043,ARCO-2022-00247,2023-02-10,2023-03-16,C,N,,3,2023-02-10,2023-03-04
374,374,C00235,ARCO-2024-00239,2023-10-11,2023-11-22,O,N,Pedido complementar,3,2023-10-11,2023-10-11
375,375,C00149,ARCO-2025-00165,2024-06-21,2024-09-07,C,N,Reposição,2,2024-06-21,2024-06-27
376,376,C00027,ARCO-2022-00192,2022-05-03,2022-05-30,C,N,,24,2022-05-03,2022-05-05
377,377,C00160,ARCO-2023-00044,2022-05-13,2022-06-29,O,N,Reposição,12,2022-05-13,2022-05-26
378,378,C00088,ARCO-2022-00008,2025-01-28,2025-02-21,C,N,,11,2025-01-28,2025-02-16
379,379,C00208,ARCO-2025-00164,2022-09-21,2022-11-17,C,N,Urgente,9,2022-09-21,2022-10-11
380,380,C00002,ARCO-2022-00220,2025-09-06,2025-10-16,O,N,Pedido complementar,20,2025-09-06,2025-09-08
381,381,C00191,,2023-01-03,2023-02-12,O,N,,22,2023-01-03,2023-01-08
382,382,C00100,ARCO-2023-00258,2023-11-18,2024-01-14,O,N,,25,2023-11-18,2023-11-23
383,383,C00148,ARCO-2023-00050,2022-11-11,2022-11-29,C,N,,14,2022-11-11,2022-11-14
384,384,C00162,ARCO-2025-00164,2025-03-05,2025-04-07,O,N,Urgente,8,2025-03-05,2025-03-18
385,385,C00128,ARCO-2024-00379,2022-09-21,2022-10-23,O,N,,11,2022-09-21,2022-10-01
386,386,C00119,,2025-04-17,2025-05-18,O,N,,25,2025-04-17,2025-04-28
387,387,C00194, ARCO-2023-00015,2022-04-05,2022-04-29,O,N,,14,2022-04-05,2022-04-22
388,388,C00158,arco-2024-00295,2025-08-07,2025-09-13,C,N,Urgente,13,2025-08-07,2025-09-06
389,389,C00060,,2022-11-21,2023-01-06,C,N,Urgente,7,2022-11-21,2022-12-12
390,390,C00146,ARCO-2023-00111,2024-10-22,2024-12-27,C,N,,5,2024-10-22,2024-11-10
391,391,C00227,ARCO-2025-00003,2025-04-10,2025-06-29,C,N,,9,2025-04-10,2025-04-15
392,392,C00028,ARCO-2022-00299,2023-05-22,2023-07-31,C,N,Urgente,5,2023-05-22,2023-06-11
393,393,C00125,ARCO-2022-00294,2025-07-04,2025-09-03,O,N,,18,2025-07-04,2025-07-15
394,394,C00208,,2022-07-08,2022-09-03,O,N,Urgente,9,2022-07-08,2022-07-19
395,395,C00171,ARCO-2022-00034,2024-03-09,2024-04-13,C,N,Pedido complementar,6,2024-03-09,2024-03-25
396,396,C00032,ARCO-2024-00214,2022-08-04,2022-09-22,C,N,,14,2022-08-04,2022-08-11
397,397,C00128,ARCO-2022-00298,2022-11-23,2023-01-13,C,N,,11,2022-11-23,2022-12-22
398,398,C00202,ARCO-2024-00163,2023-11-24,2024-01-04,C,N,Pedido complementar,2,2023-11-24,2023-12-16
399,399,C00209,ARCO-2024-00325,2025-03-26,2025-06-19,C,N,,12,2025-03-26,2025-04-04
400,400,C00104,,2025-12-19,2026-02-21,C,N,,21,2025-12-19,2025-12-28
401,401,C00053,ARCO-2025-00042,2024-07-26,2024-10-02,O,N,Reposição,15,2024-07-26,2024-08-24
402,402,C00115,ARCO-2024-00109,2023-08-10,2023-10-16,C,N,Pedido complementar,25,2023-08-10,2023-08-23
403,403,C00127,ARCO-2025-00014,2022-07-27,2022-09-30,C,N,Reposição,16,2022-07-27,2022-08-11
404,404,C00122,ARCO-2024-00280,2022-06-08,2022-08-15,O,N,,7,2022-06-08,2022-06-29
405,405,C00260,ARCO-2024-00202,2024-11-21,2024-12-31,C,N,,22,2024-11-21,2024-11-21
406,406,C00258,,2024-08-28,2024-09-28,C,N,Pedido complementar,14,2024-08-28,2024-09-02
407,407,C00003,,2023-07-15,2023-10-06,C,N,Urgente,16,2023-07-15,2023-08-14
408,408,C00010,ARCO-2025-00072,2023-07-18,2023-10-14,O,N,,16,2023-07-18,2023-07-27
409,409,C00204,,2025-04-27,2025-06-19,C,N,,25,2025-04-27,2025-05-17
410,410,C00143,,2025-03-30,2025-05-05,C,N,,19,2025-03-30,2025-04-10
411,411,C00208,ARCO-2023-00098,2024-07-31,2024-09-01,C,N,Reposição,9,2024-07-31,2024-08-20
412,412,C00154,ARCO-2023-00203,2023-06-22,2023-09-09,O,N,,23,2023-06-22,2023-06-27
413,413,C00212,ARCO-2022-00197,2025-03-07,2025-05-19,O,N,Urgente,24,2025-03-07,2025-03-28
414,414,C00014,ARCO-2024-00282,2023-11-05,2023-12-18,C,N,,7,2023-11-05,2023-12-05
415,415,C00200,ARCO-2023-00180,2025-03-15,2025-04-02,O,N,Pedido complementar,11,2025-03-15,2025-03-22
416,416,C00140,ARCO-2025-00018,2022-06-16,2022-07-25,O,N,,5,2022-06-16,2022-06-22
417,417,C00244,,2024-05-08,2024-07-23,O,N,,9,2024-05-08,2024-05-25
418,418,C00052,ARCO-2023-00289,2025-11-16,2026-01-03,O,N,,17,2025-11-16,2025-12-13
419,419,C00223,ARCO - 2023 - 00111,2025-01-19,2025-02-14,O,N,,21,2025-01-19,2025-02-06
420,420,C00043,,2022-04-08,2022-06-01,O,N,,3,2022-04-08,2022-04-12
421,421,C00214,,2022-09-01,2022-11-06,C,N,Pedido complementar,9,2022-09-01,2022-10-01
422,422,C00038,,2025-05-18,2025-06-07,O,N,,22,2025-05-18,2025-06-17
423,423,C00103,ARCO-2023-00169,2023-06-19,2023-07-23,O,N,,25,2023-06-19,2023-06-21
424,424,C00218,ARCO-2023-00245,2025-10-06,2025-11-02,C,N,Reposição,9,2025-10-06,2025-10-09
425,425,C00106,,2024-02-22,2024-03-15,O,N,Urgente,24,2024-02-22,2024-02-25
426,426,C00045,,2022-08-26,2022-10-06,O,N,,21,2022-08-26,2022-09-13
427,427,C00159,,2022-02-03,2022-03-07,C,N,Pedido complementar,3,2022-02-03,2022-03-02
428,428,C00003,ARCO-2023-00267,2025-09-03,2025-09-29,C,N,,16,2025-09-03,2025-09-29
429,429,C00236,,2023-09-05,2023-10-30,O,N,Pedido complementar,8,2023-09-05,2023-09-07
430,430,C00110,,2024-09-02,2024-11-21,C,N,,18,2024-09-02,2024-09-29
431,431,C00220,ARCO-2024-00037,2022-06-13,2022-07-02,C,N,,17,2022-06-13,2022-07-04
432,432,C00195,ARCO-2022-00296,2022-12-13,2023-01-28,O,N,,5,2022-12-13,2023-01-10
433,433,C00025,ARCO - 2025 - 00122,2023-03-23,2023-05-19,O,N,Pedido complementar,4,2023-03-23,2023-04-05
434,434,C00095,ARCO-2024-00209,2023-12-07,2024-02-03,O,N,,20,2023-12-07,2023-12-31
435,435,C00258,ARCO - 2023 - 00039,2023-08-03,2023-10-19,O,N,Urgente,14,2023-08-03,2023-08-21
436,436,C00142,ARCO-2022-00184,2025-05-23,2025-07-13,C,N,Reposição,19,2025-05-23,2025-05-30
437,437,C00030,ARCO-2023-00055,2025-07-11,2025-09-07,C,N,Pedido complementar,25,2025-07-11,2025-08-09
438,438,C00206,ARCO-2025-00187,2023-08-30,2023-10-02,O,N,Pedido complementar,18,2023-08-30,2023-09-01
439,439,C00234,ARCO - 2022 - 00207,2024-04-09,2024-06-09,O,N,,6,2024-04-09,2024-04-24
440,440,C00012,ARCO-2025-00043,2025-09-01,2025-10-21,O,N,,6,2025-09-01,2025-09-27
441,441,C00194,ARCO-2025-00216,2023-06-18,2023-07-08,C,N,,14,2023-06-18,2023-07-16
442,442,C00003,ARCO-2025-00327,2024-04-23,2024-06-29,C,N,Pedido complementar,16,2024-04-23,2024-05-01
443,443,C00052,ARCO-2023-00275 ,2024-04-14,2024-05-20,O,N,,17,2024-04-14,2024-04-17
444,444,C00180,,2025-09-12,2025-10-17,O,N,Reposição,1,2025-09-12,2025-09-16
445,445,C00093,ARCO-2024-00080,2025-01-02,2025-02-21,C,N,,8,2025-01-02,2025-01-18
446,446,C00099,ARCO-2025-00311,2023-09-01,2023-09-20,O,N,,17,2023-09-01,2023-09-24
447,447,C00138,ARCO-2022-00060,2022-07-28,2022-08-26,O,N,,24,2022-07-28,2022-08-23
448,448,C00161,ARCO-2025-00227,2022-12-04,2023-02-24,C,N,,20,2022-12-04,2022-12-29
449,449,C00224,ARCO-2022-00328,2025-09-23,2025-11-23,C,N,,8,2025-09-23,2025-10-12
450,450,C00238, ARCO-2023-00015,2022-02-05,2022-03-01,O,N,,15,2022-02-05,2022-02-24
451,451,C00148,,2025-12-29,2026-02-24,O,N,Reposição,14,2025-12-29,2026-01-08
452,452,C00065,,2024-11-11,2024-12-08,C,N,Reposição,17,2024-11-11,2024-11-24
453,453,C00233,ARCo-2024-00322,2022-12-25,2023-01-19,C,N,Reposição,5,2022-12-25,2023-01-01
454,454,C00012,ARCO-2024-00177,2025-02-19,2025-03-09,O,N,Reposição,6,2025-02-19,2025-03-15
455,455,C00060,ARCO-2023-00050,2025-09-15,2025-11-25,C,N,,7,2025-09-15,2025-10-11
456,456,C00207,ARCO-2022-00008,2023-11-11,2024-02-04,C,N,Urgente,17,2023-11-11,2023-12-06
457,457,C00191,ARCO-2025-00157,2022-02-12,2022-05-07,C,N,Pedido complementar,22,2022-02-12,2022-02-12
458,458,C00215,ARCO-2023-00221,2022-04-11,2022-06-03,C,N,Reposição,21,2022-04-11,2022-04-30
459,459,C00220,ARCO-2025-00035,2024-03-06,2024-05-02,C,N,,17,2024-03-06,2024-03-20
460,460,C00140,ARCO - 2024 - 00023,2022-10-22,2023-01-01,C,N,,5,2022-10-22,2022-11-04
461,461,C00036,ARCO - 2024 - 00283,2023-03-27,2023-04-13,C,N,Urgente,11,2023-03-27,2023-04-19
462,462,C00205,ARCO-2023-00083,2024-03-25,2024-05-16,C,N,Urgente,6,2024-03-25,2024-04-21
463,463,C00093,ARCO-2025-00005,2025-10-15,2025-11-22,O,N,,8,2025-10-15,2025-10-20
464,464,C00109,ARCO-2025-00003,2023-07-15,2023-08-09,C,N,,24,2023-07-15,2023-07-18
465,465,C00170,ARCO-2022-00204,2023-11-02,2024-01-24,C,N,,19,2023-11-02,2023-11-29
466,466,C00015,ARCO-2024-00256,2024-02-15,2024-03-02,O,N,,1,2024-02-15,2024-02-29
467,467,C00032,ARCO-2022-00110,2022-10-23,2022-12-20,C,N,,14,2022-10-23,2022-11-21
468,468,C00114,,2023-10-22,2024-01-13,O,N,,15,2023-10-22,2023-10-23
469,469,C00144,ARCO-2025-00072,2024-03-14,2024-04-21,C,N,Urgente,8,2024-03-14,2024-03-19
470,470,C00051,ARCO-2024-00081,2022-09-26,2022-10-14,C,N,Urgente,5,2022-09-26,2022-10-13
471,471,C00091,,2024-01-06,2024-02-20,C,N,Urgente,18,2024-01-06,2024-01-18
472,472,C00108,ARCO-2025-00003,2022-09-16,2022-11-15,O,N,,5,2022-09-16,2022-10-12
473,473,C00119, ARCO-2023-00257,2024-01-04,2024-01-19,O,N,Urgente,25,2024-01-04,2024-01-07
474,474,C00025,ARCO-2022-00123,2023-03-10,2023-05-11,C,N,Reposição,4,2023-03-10,2023-03-25
475,475,C00044,ARCo-2024-00002,2023-01-12,2023-04-11,C,N,Urgente,2,2023-01-12,2023-01-16
476,476,C00095,,2024-02-11,2024-04-01,C,N,Pedido complementar,20,2024-02-11,2024-02-22
477,477,C00182,,2023-09-26,2023-10-11,C,N,Reposição,3,2023-09-26,2023-10-21
478,478,C00074,ARCO-2025-00147,2023-12-06,2024-01-17,O,N,,11,2023-12-06,2024-01-05
479,479,C00198,ARCO-2022-00240,2024-12-30,2025-01-23,C,N,,4,2024-12-30,2025-01-13
480,480,C00148,,2024-06-28,2024-07-14,O,N,,14,2024-06-28,2024-07-04
481,481,C00054,,2025-10-04,2025-12-15,C,N,Urgente,19,2025-10-04,2025-10-26
482,482,C00220,ARCO-2024-00177,2024-08-22,2024-10-29,O,N,Reposição,17,2024-08-22,2024-08-27
483,483,C00045,,2025-08-20,2025-10-15,C,N,Urgente,21,2025-08-20,2025-09-10
484,484,C00038,,2025-07-03,2025-07-25,O,N,,22,2025-07-03,2025-07-24
485,485,C00059,ARCO-2024-00321,2024-06-23,2024-07-11,C,N,Urgente,17,2024-06-23,2024-07-13
486,486,C00219,arco-2023-00126,2025-11-01,2026-01-17,O,N,Reposição,10,2025-11-01,2025-11-05
487,487,C00037,,2024-02-15,2024-05-06,C,N,,19,2024-02-15,2024-02-28
488,488,C00113,,2022-06-21,2022-07-16,C,N,Reposição,20,2022-06-21,2022-06-30
489,489,C00099,ARCO-2023-00015,2023-05-17,2023-07-29,C,N,,17,2023-05-17,2023-06-04
490,490,C00077,,2025-12-10,2026-01-03,O,N,Urgente,17,2025-12-10,2025-12-21
491,491,C00261,,2024-02-18,2024-03-30,O,N,Reposição,22,2024-02-18,2024-03-11
492,492,C00133,ARCO-2025-00338,2025-10-30,2026-01-16,C,N,,14,2025-10-30,2025-11-27
493,493,C00175,,2024-12-08,2025-01-09,O,N,,5,2024-12-08,2024-12-29
494,494,C00016,,2023-12-25,2024-01-29,C,N,,10,2023-12-25,2024-01-07
495,495,C00228,,2023-03-28,2023-05-29,O,N,Urgente,23,2023-03-28,2023-04-02
496,496,C00144,ARCO-2024-00177,2023-05-25,2023-08-10,C,N,,8,2023-05-25,2023-06-23
497,497,C00198,ARCO-2024-00211,2024-06-22,2024-09-10,C,N,,4,2024-06-22,2024-06-27
498,498,C00143,,2025-03-29,2025-05-19,C,N,,19,2025-03-29,2025-04-07
499,499,C00209,ARCO-2022-00162 ,2025-03-30,2025-04-30,C,N,Urgente,12,2025-03-30,2025-04-16
500,500,C00171,,2022-10-20,2022-11-10,C,N,Urgente,6,2022-10-20,2022-11-17
501,501,C00214,ARCO-2023-00092,2023-04-19,2023-06-13,O,N,Reposição,9,2023-04-19,2023-05-13
502,502,C00111,ARCO-2022-00138,2022-05-30,2022-06-30,C,N,Urgente,5,2022-05-30,2022-06-26
503,503,C00191,,2023-01-17,2023-02-19,O,N,Urgente,22,2023-01-17,2023-01-31
504,504,C00004,ARCO-2024-00177,2025-03-07,2025-05-20,O,N,Reposição,11,2025-03-07,2025-03-16
505,505,C00027,ARCO-2022-00105,2025-06-05,2025-08-26,O,N,Urgente,24,2025-06-05,2025-06-22
506,506,C00074,,2023-01-31,2023-04-12,O,N,Reposição,11,2023-01-31,2023-02-22
507,507,C00139,ARCO-2024-00368,2024-09-26,2024-12-01,C,Y,,1,2024-09-26,2024-10-09
508,508,C00113,ARCO-2023-00267,2022-01-09,2022-02-07,O,N,,20,2022-01-09,2022-01-09
509,509,C00026,,2025-10-16,2026-01-05,C,N,,20,2025-10-16,2025-10-20
510,510,C00199,,2025-01-17,2025-02-27,O,N,,19,2025-01-17,2025-01-30
511,511,C00232, ARCO-2022-00196,2022-12-07,2023-03-01,C,N,Pedido complementar,6,2022-12-07,2022-12-30
512,512,C00044,ARCO - 2022 - 00196,2025-08-03,2025-09-19,C,N,Urgente,2,2025-08-03,2025-08-31
513,513,C00069,ARCO-2024-00190,2023-07-28,2023-10-23,O,N,,16,2023-07-28,2023-08-01
514,514,C00134,ARCO-2022-00048,2023-03-17,2023-05-18,O,N,,7,2023-03-17,2023-03-19
515,515,C00056,,2023-08-21,2023-10-25,O,N,Reposição,9,2023-08-21,2023-09-12
