id,name,details,external_id,domain_names,created_at,updated_at
285,Escola Garcia,Cliente desde 2022,,,2022-03-27 00:00:00,2025-04-06 00:00:00
286,Instituto Ribeiro,Verificar cadastro,,,2023-12-23 00:00:00,2024-03-14 00:00:00
287,Instituto Teixeira,Cliente desde 2022,,,2022-10-22 00:00:00,2024-03-05 00:00:00
288,Escola Ramos,Cliente desde 2022,,,2023-02-22 00:00:00,2025-01-10 00:00:00
289,Escola Nunes,,,,2023-11-29 00:00:00,2024-03-15 00:00:00
290,Colégio Cirino,Cliente desde 2022,,,2023-04-29 00:00:00,2025-04-01 00:00:00
291,Colégio Camargo,,,,2023-06-21 00:00:00,2024-01-22 00:00:00
292,Escola Sampaio,,,,2023-12-25 00:00:00,2024-10-19 00:00:00
293,Colégio Cirino,Verificar cadastro,,,2022-09-15 00:00:00,2024-03-31 00:00:00
294,Instituto da Cunha,Verificar cadastro,,,2022-03-24 00:00:00,2024-08-24 00:00:00
295,Colégio da Rocha,Cliente desde 2022,,,2023-11-01 00:00:00,2024-04-05 00:00:00
296,Escola Martins,,,,2022-05-29 00:00:00,2025-01-21 00:00:00
297,Colégio Ribeiro,,,,2023-06-30 00:00:00,2025-01-20 00:00:00
298,Instituto Barbosa,Verificar cadastro,,,2023-01-11 00:00:00,2024-02-10 00:00:00
299,Instituto Porto,Cliente desde 2022,,,2023-01-05 00:00:00,2024-12-02 00:00:00
300,Colégio Marques,Verificar cadastro,,,2022-03-22 00:00:00,2024-09-28 00:00:00
301,Escola da Mota,,,,2022-01-20 00:00:00,2025-06-09 00:00:00
302,Instituto Vargas,Verificar cadastro,,,2023-06-18 00:00:00,2024-07-27 00:00:00
303,Colégio Lima,Verificar cadastro,,,2022-02-22 00:00:00,2024-01-08 00:00:00
304,Instituto Sales,Cliente desde 2022,,,2022-12-28 00:00:00,2025-06-12 00:00:00
305,Escola Rios,Cliente desde 2022,,,2023-05-16 00:00:00,2025-01-02 00:00:00
306,Colégio Vargas,Cliente desde 2022,,,2023-09-11 00:00:00,2024-03-23 00:00:00
307,Escola Vargas,Verificar cadastro,,,2022-11-15 00:00:00,2025-05-23 00:00:00
308,Escola Duarte,,,,2023-04-23 00:00:00,2024-03-15 00:00:00
309,Colégio da Cunha,,,,2023-03-08 00:00:00,2024-02-08 00:00:00
310,Instituto Castro,,,,2023-08-25 00:00:00,2025-08-16 00:00:00
