id_nf,numero_nf,serie_nf,id_pedido_erp_b,cnpj_cliente,nome_cliente,dt_emissao,valor_total,valor_impostos,cnpj_transportadora,nome_transportadora,codigo_rastreio,dt_prevista_entrega,dt_entrega_real,status_entrega,qtd_entregue,dt_criacao
135,NF-000135,2,1017,86.874.034/5054-15,da Cunha,2022-11-18,46395.61,532.98,52000633388700,Sequoia Log,1PXG3KZQUUYHV,2022-12-04,2022-11-23,entregue,108,2022-11-19 00:00:00
136,NF-000136,1,490,48086131712748,Campos Instituto,2024-07-10,26849.01,2349.36,77546296934721,Jadlog,HRFOS7KJKA8P3,2024-07-18,,devolvido,118,2024-07-11 00:00:00
137,NF-000137,3,210,98.687.277/4348-73,Pacheco,2024-01-09,12602.59,3116.22,52000633388700,Sequoia Log,N188THYQ00VNA,2024-01-26,2024-02-01,entregue,263,2024-01-09 00:00:00
138,NF-000138,3,19,05153195205852,Silva Fernandes S.A.,2023-06-01,1824.43,3581.28,52000633388700,Sequoia Log,18M7MDW82Y1UH,2023-06-10,,em_transito,54,2023-06-01 00:00:00
139,NF-000139,1,404,72.624.731/7810-80,Garcia Escola,2022-06-02,34094.33,2283.52,52000633388700,Sequoia Log,2VQTNHJ479J1U,2022-06-17,,extraviado,86,2022-06-03 00:00:00
140,NF-000140,1,413,89.113.529/0965-61,Farias,2025-10-21,23859.37,156.78,55481244322208,Correios,42ZZ2PJD53SOB,2025-10-29,2025-10-15,entregue,367,2025-10-21 00:00:00
141,NF-000141,1,314,66.929.662/7828-27,Teixeira - EI,2025-09-15,7042.13,2416.65,07901319850452,Braspress,D876D73MP2JS5,2025-09-26,,extraviado,99,2025-09-16 00:00:00
142,NF-000142,1,168,84.866.618/8924-14,Ferreira S.A.,2025-07-28,15615.34,2657.22,55481244322208,Correios,873PZ181AVCG2,2025-08-06,,aguardando_coleta,12,2025-07-29 00:00:00
143,NF-000143,3,458,12770632424154,Carvalho,2022-11-23,15212.1,871.03,55481244322208,Correios,5PDDW2QUPUUDJ,2022-12-06,,em_transito,127,2022-11-23 00:00:00
144,NF-000144,1,1033,10.276.773/5925-55,Alves Centro Educacional,2025-01-06,40397.43,258.57,07901319850452,Braspress,Z0CBRDCDTLFN1,2025-01-12,2025-01-23,entregue,74,2025-01-06 00:00:00
145,NF-000145,2,1175,30.564.139/5376-72,Novais S.A.,2022-11-30,46514.1,3426.79,77546296934721,Jadlog,T6JBA8EN4AO8E,2022-12-20,,aguardando_coleta,266,2022-12-01 00:00:00
146,NF-000146,2,57,28.498.776/9453-14,Vargas Escola,2024-12-29,19150.43,377.12,55481244322208,Correios,KNVVCMW0KAV07,2025-01-15,2025-01-10,entregue,481,2024-12-30 00:00:00
147,NF-000147,2,1081,95.134.332/0037-91,Carvalho Colégio,2022-07-02,10340.35,2374.46,07901319850452,Braspress,T03DSN049LKNV,2022-07-12,,devolvido,201,2022-07-02 00:00:00
148,NF-000148,3,435,62.962.015/3368-84,Fernandes Escola,2024-06-07,42262.33,2636.7,52000633388700,Sequoia Log,8OC70YPIFOLM1,2024-06-12,,devolvido,141,2024-06-08 00:00:00
149,NF-000149,1,870,58.997.571/1305-54,Machado,2023-12-02,19120.66,501.38,07901319850452,Braspress,5ADCMNZAE2M1M,2023-12-16,,em_transito,54,2023-12-02 00:00:00
150,NF-000150,2,628,00.499.154/7887-28,Abreu Colégio,2025-05-01,15584.45,3881.9,55481244322208,Correios,NC1Y5JUGOX8DQ,2025-05-16,,aguardando_coleta,125,2025-05-01 00:00:00
151,NF-000151,1,330,56.924.593/7526-54,Porto da Mota - EI,2025-07-31,9687.49,4167.39,55481244322208,Correios,6Q6NMBU04A2XV,2025-08-14,,devolvido,97,2025-08-01 00:00:00
152,NF-000152,3,727,84.422.583/1323-70,Nogueira Andrade Ltda.,2023-02-28,16329.09,2025.71,07901319850452,Braspress,Y8DOW5G6XK6A9,2023-03-12,,em_transito,50,2023-03-01 00:00:00
153,NF-000153,3,134,74.687.234/3098-05,Oliveira Centro Educacional,2023-07-29,35518.41,4156.83,07901319850452,Braspress,AJ5IZ1X7U0PCZ,2023-08-06,,em_transito,259,2023-07-30 00:00:00
154,NF-000154,3,185,72099934768701,Albuquerque,2023-09-17,29311.34,4634.2,52000633388700,Sequoia Log,6OXYJE4GWXJ9X,2023-10-05,2023-09-29,entregue,324,2023-09-18 00:00:00
155,NF-000155,1,920,51.713.395/9629-23,Mendonça,2023-07-30,29080.54,2360.17,77546296934721,Jadlog,NASKS1WM1K79V,2023-08-11,,extraviado,31,2023-07-31 00:00:00
156,NF-000156,1,24,99.799.552/7177-44,Leão Escola,2023-04-11,31795.23,1043.95,77546296934721,Jadlog,6RZNOW101ETMS,2023-04-20,,extraviado,14,2023-04-12 00:00:00
157,NF-000157,3,941,51823374989413,Montenegro Centro Educacional,2022-12-11,32015.61,4284.66,55481244322208,Correios,ENIXJFLJ14BI1,2022-12-20,2022-12-22,entregue,407,2022-12-11 00:00:00
158,NF-000158,3,1076,60.083.505/8300-33,Melo Instituto,2023-10-09,45135.38,2223.18,77546296934721,Jadlog,H4ZV1BA1RK5CX,2023-10-26,,aguardando_coleta,87,2023-10-10 00:00:00
159,NF-000159,1,1002,37575844198665,Peixoto - ME,2023-02-23,19982.56,3733.63,50842145100973,Total Express,IPGIK9UAC06XN,2023-03-15,,extraviado,179,2023-02-23 00:00:00
160,NF-000160,3,945,40.892.687/0568-56,Martins,2025-12-29,49119.89,4754.47,07901319850452,Braspress,9SNLKE4LC6XZQ,2026-01-07,,devolvido,131,2025-12-29 00:00:00
161,NF-000161,3,1105,23046184992618,Barbosa Escola,2022-12-31,46020.62,149.92,07901319850452,Braspress,2EE3MEYAMW0V9,2023-01-20,,em_transito,167,2023-01-01 00:00:00
162,NF-000162,1,952,00.978.820/8121-91,Santos Azevedo S/A,2022-07-27,31641.64,1498.87,52000633388700,Sequoia Log,BMSZZGNG6IL2N,2022-08-11,,em_transito,83,2022-07-27 00:00:00
163,NF-000163,1,613,50142940196556,Andrade Dias - ME,2024-07-24,6707.31,1657.76,55481244322208,Correios,V3PY3WNUP19W5,2024-08-08,2024-08-23,entregue,246,2024-07-24 00:00:00
164,NF-000164,3,632,99.371.240/6596-57,Sá,2024-03-04,5330.76,3772.71,07901319850452,Braspress,PN58RKYXKH01J,2024-03-23,,extraviado,122,2024-03-04 00:00:00
165,NF-000165,3,792,00.722.903/4944-66,Campos,2023-06-15,30735.5,3838.64,55481244322208,Correios,RO71ENMBM6Y1Y,2023-06-28,,aguardando_coleta,84,2023-06-15 00:00:00
166,NF-000166,1,348,20.616.329/4511-68,Machado,2023-06-23,42338.28,4863.35,52000633388700,Sequoia Log,RQ9JYGQOAENZ1,2023-06-28,,extraviado,236,2023-06-23 00:00:00
167,NF-000167,3,14,51.802.380/6174-45,Vargas Colégio,2023-05-05,35868.27,2345.28,07901319850452,Braspress,53NXBLGRHAX4W,2023-05-18,,aguardando_coleta,10,2023-05-05 00:00:00
168,NF-000168,2,788,73832060385050,Vasconcelos Colégio,2023-05-09,34448.54,1514.06,55481244322208,Correios,T2SDFI1ELNQOP,2023-05-21,,aguardando_coleta,53,2023-05-10 00:00:00
169,NF-000169,2,8,00.623.120/3875-09,Silva Instituto,2022-08-31,13193.59,1818.63,77546296934721,Jadlog,Y4YWLZVM3CUZZ,2022-09-18,,extraviado,137,2022-08-31 00:00:00
170,NF-000170,2,93,51.802.380/6174-45,Vargas Colégio,2023-06-25,41602.11,2682.39,07901319850452,Braspress,79N9WZ2S9SLH1,2023-07-10,,aguardando_coleta,30,2023-06-26 00:00:00
171,NF-000171,1,165,00.499.154/7887-28,Abreu Colégio,2023-10-19,41853.81,2470.31,52000633388700,Sequoia Log,YATUZFALSNF9K,2023-10-29,,em_transito,135,2023-10-20 00:00:00
172,NF-000172,3,1032,53.556.093/2048-99,Casa Colégio,2022-11-22,44828.23,2246.42,77546296934721,Jadlog,2BX55XE7LV2UP,2022-12-08,,aguardando_coleta,138,2022-11-23 00:00:00
173,NF-000173,1,117,09.130.756/2636-89,Alves Escola,2025-09-12,7315.36,2270.82,07901319850452,Braspress,JWWN36PDNNEW4,2025-09-30,,aguardando_coleta,50,2025-09-13 00:00:00
174,NF-000174,1,726,87947055169409,Ramos,2022-04-14,11123.47,3240.78,55481244322208,Correios,5J7WDFP85L1G1,2022-04-22,,em_transito,483,2022-04-14 00:00:00
175,NF-000175,3,760,01438889937567,Nogueira Colégio,2023-05-25,31361.83,591.94,50842145100973,Total Express,HHL7CHVPPA9RO,2023-06-04,,extraviado,8,2023-05-26 00:00:00
176,NF-000176,1,11,99.118.384/2513-54,Porto Escola,2024-10-14,47126.63,3328.21,52000633388700,Sequoia Log,5TEOA49154JRD,2024-10-21,,extraviado,258,2024-10-14 00:00:00
177,NF-000177,2,180,51.823.374/9894-13,Montenegro Centro Educacional,2024-12-14,9032.51,3986.76,55481244322208,Correios,49GGGCESY87WY,2024-12-19,,extraviado,27,2024-12-14 00:00:00
178,NF-000178,1,725,58.549.733/4843-44,Andrade Escola,2025-10-15,45368.45,1422.31,52000633388700,Sequoia Log,2VF9AHANSIFB4,2025-10-25,,extraviado,249,2025-10-15 00:00:00
179,NF-000179,2,112,89.113.529/0965-61,Farias,2024-09-12,4353.8,2920.14,07901319850452,Braspress,FSBYS20MB5RZX,2024-09-29,2024-09-29,entregue,352,2024-09-12 00:00:00
180,NF-000180,1,1174,87.083.172/7889-57,Souza Centro Educacional,2024-05-29,41427.93,1889.34,52000633388700,Sequoia Log,HKQHDLSNPP248,2024-06-18,,aguardando_coleta,28,2024-05-29 00:00:00
181,NF-000181,3,890,60898992172233,Sales Instituto,2023-03-04,21066.23,1787.46,52000633388700,Sequoia Log,R2DEZ81FBNH3I,2023-03-16,,extraviado,133,2023-03-05 00:00:00
182,NF-000182,1,683,74741124903521,Caldeira Centro Educacional,2025-02-25,6511.69,3286.44,77546296934721,Jadlog,IBB6U2CX4AWCK,2025-03-10,,devolvido,3,2025-02-25 00:00:00
183,NF-000183,1,207,84866618892414,Ferreira S.A.,2023-10-07,45529.92,494.39,50842145100973,Total Express,RJ22SCHA50G78,2023-10-12,,extraviado,268,2023-10-07 00:00:00
184,NF-000184,1,155,05.766.270/2895-17,Santos Colégio,2023-08-05,42572.82,245.79,50842145100973,Total Express,8XQK5CCK0AKSY,2023-08-12,2023-08-21,entregue,454,2023-08-06 00:00:00
185,NF-000185,3,723,97.700.886/0084-84,Guerra,2023-04-20,14047.51,4211.89,07901319850452,Braspress,2OOP5N2TIWBFT,2023-05-02,,em_transito,14,2023-04-21 00:00:00
186,NF-000186,2,145,20.297.021/3556-90,Porto da Luz S.A.,2023-12-18,12502.03,4715.09,55481244322208,Correios,2MBDT4GFUNQLO,2023-12-24,,em_transito,17,2023-12-19 00:00:00
187,NF-000187,2,491,86.571.918/2619-90,das Colégio,2023-06-19,49886.14,3285.81,77546296934721,Jadlog,HICTQ61CXSQ38,2023-07-07,,aguardando_coleta,101,2023-06-19 00:00:00
188,NF-000188,1,395,40369003432445,Aragão - EI,2025-09-03,18477.37,4042.75,55481244322208,Correios,W0493OSFZ9B35,2025-09-21,,aguardando_coleta,242,2025-09-03 00:00:00
189,NF-000189,1,664,06.797.403/4471-34,Araújo Escola,2022-04-05,17838.36,1149.39,77546296934721,Jadlog,SP0WT6DRBEOQ2,2022-04-21,,extraviado,137,2022-04-05 00:00:00
190,NF-000190,1,680,69.284.511/5447-96,da Mota,2024-09-19,39549.7,2726.3,07901319850452,Braspress,E8N23YB1ORQI6,2024-10-06,,em_transito,321,2024-09-20 00:00:00
191,NF-000191,2,669,54.589.297/5001-70,Barros Escola,2025-01-01,35878.79,315.38,07901319850452,Braspress,6UUZI1KRABBTP,2025-01-20,2025-01-23,entregue,263,2025-01-01 00:00:00
192,NF-000192,1,44,18328569146303,Vasconcelos Colégio,2024-09-30,32230.65,1286.83,55481244322208,Correios,7BMAJKBQ1W24U,2024-10-15,2024-10-18,entregue,218,2024-10-01 00:00:00
193,NF-000193,3,1088,10433218196001,Alves Colégio,2024-01-22,12265.24,3293.49,52000633388700,Sequoia Log,QHITTZAL1EI1D,2024-02-02,,devolvido,182,2024-01-23 00:00:00
194,NF-000194,2,1060,64.235.369/3785-47,Melo Pimenta S/A,2023-06-29,8565.29,4738.48,52000633388700,Sequoia Log,UVCX87ZZG2PHH,2023-07-19,2023-07-03,entregue,482,2023-06-29 00:00:00
195,NF-000195,2,562,27.849.808/4124-11,Castro,2022-11-16,2397.54,1940.91,50842145100973,Total Express,4SDGKTPW4UB3Q,2022-11-25,,em_transito,40,2022-11-17 00:00:00
196,NF-000196,2,1087,78.390.847/0076-61,Aragão Escola,2024-12-17,9741.92,4433.41,07901319850452,Braspress,WZYMJ6MBEY5C1,2025-01-05,,em_transito,70,2024-12-17 00:00:00
197,NF-000197,1,1137,57437489691085,Correia Centro Educacional,2022-07-01,30459.89,2051.97,77546296934721,Jadlog,W0B8USIEH8A7T,2022-07-18,,em_transito,285,2022-07-01 00:00:00
198,NF-000198,3,766,46.554.947/1709-99,da Mota Aparecida S/A,2024-05-17,40220.32,1793.65,50842145100973,Total Express,EQGFJBWKUA79M,2024-06-02,,extraviado,61,2024-05-17 00:00:00
199,NF-000199,3,544,12.805.982/6204-50,Pereira Colégio,2023-04-06,8596.84,4829.49,52000633388700,Sequoia Log,58CRJH42F39VC,2023-04-26,2023-04-24,entregue,110,2023-04-06 00:00:00
200,NF-000200,1,783,62120216979729,Pastor Centro Educacional,2024-12-22,2720.16,62.15,07901319850452,Braspress,XMZ4HE6UQ7BFJ,2025-01-11,,devolvido,364,2024-12-23 00:00:00
201,NF-000201,1,749,30.958.498/2544-94,Gomes Instituto,2022-03-10,46018.53,3417.61,55481244322208,Correios,0QNBEWQ73F3VE,2022-03-19,,em_transito,161,2022-03-10 00:00:00
202,NF-000202,1,519,85.807.836/1340-74,Mendonça Colégio,2023-05-30,32784.4,2093.02,77546296934721,Jadlog,R8HI2HMJ1JHR3,2023-06-15,,extraviado,236,2023-05-31 00:00:00
203,NF-000203,1,49,10.651.801/7046-22,Correia Colégio,2024-08-24,761.43,61.29,07901319850452,Braspress,06ETNP4AGTRLO,2024-09-07,,em_transito,185,2024-08-25 00:00:00
204,NF-000204,3,868,82.417.248/2513-53,da Rosa Albuquerque e Filhos,2024-01-17,22619.14,3899.82,07901319850452,Braspress,60DBLF8BIMHWJ,2024-01-30,,devolvido,6,2024-01-17 00:00:00
205,NF-000205,1,826,21.699.586/6934-65,Barbosa Instituto,2022-06-17,20006.03,624.65,07901319850452,Braspress,IVEGR0QQ0NAS3,2022-06-24,,extraviado,106,2022-06-17 00:00:00
206,NF-000206,1,13,00.479.748/0162-45,Câmara,2022-05-18,43100.42,3866.35,07901319850452,Braspress,UK7Z9G86BNJYN,2022-06-02,,extraviado,186,2022-05-18 00:00:00
207,NF-000207,1,269,72624731781080,Garcia Escola,2024-12-23,15429.53,4753.32,50842145100973,Total Express,9H9EFN4586ENE,2025-01-06,,em_transito,40,2024-12-24 00:00:00
208,NF-000208,3,471,40.369.003/4324-45,Aragão - EI,2023-08-27,29157.39,4529.53,50842145100973,Total Express,LLU7EIDWY4D7N,2023-09-13,,devolvido,64,2023-08-27 00:00:00
209,NF-000209,1,1024,41.928.327/6483-50,da Conceição Montenegro - EI,2025-06-13,9408.24,4933.0,52000633388700,Sequoia Log,3ESRFFUEFZK8Y,2025-06-27,,extraviado,197,2025-06-14 00:00:00
210,NF-000210,2,687,74.315.274/2054-93,Fonseca Lopes S/A,2023-04-13,13580.89,366.22,52000633388700,Sequoia Log,C17VQPCDQNQ0E,2023-04-20,2023-04-23,entregue,105,2023-04-14 00:00:00
211,NF-000211,2,732,66.179.796/8868-05,da Costa,2024-02-22,38189.95,4281.91,77546296934721,Jadlog,6NZ9GS966HAHC,2024-03-05,,aguardando_coleta,451,2024-02-22 00:00:00
212,NF-000212,1,264,84.866.618/8924-14,Ferreira S.A.,2024-01-30,41262.94,2024.66,77546296934721,Jadlog,ZG8AYMXFGSEI3,2024-02-13,,aguardando_coleta,164,2024-01-30 00:00:00
213,NF-000213,3,947,26542351161559,Carvalho Sousa S/A,2022-02-01,27202.97,2475.26,55481244322208,Correios,4QWYB3XR7L9K6,2022-02-17,,em_transito,195,2022-02-01 00:00:00
214,NF-000214,1,888,05.153.195/2058-52,Silva Fernandes S.A.,2025-02-15,36569.58,3930.6,77546296934721,Jadlog,LYOF8IQI1QNJY,2025-03-05,,extraviado,195,2025-02-15 00:00:00
215,NF-000215,2,379,89113529096561,Farias,2023-01-31,45240.69,3966.34,55481244322208,Correios,I8MH6JJR2XBH0,2023-02-13,,devolvido,18,2023-02-01 00:00:00
216,NF-000216,2,492,09.130.756/2636-89,Alves Escola,2024-10-01,30205.42,407.46,77546296934721,Jadlog,9XUKXY7FAHV5T,2024-10-13,,extraviado,137,2024-10-02 00:00:00
217,NF-000217,3,73,29.148.652/8168-50,Albuquerque - ME,2025-07-29,9554.51,4177.72,55481244322208,Correios,GBYDE89VVNX4M,2025-08-08,,devolvido,6,2025-07-30 00:00:00
218,NF-000218,1,992,36.576.615/6545-27,Guerra Araújo S.A.,2023-08-07,9122.61,3216.78,77546296934721,Jadlog,0ML6F15USIMMT,2023-08-18,,aguardando_coleta,148,2023-08-08 00:00:00
219,NF-000219,1,648,20.616.329/4511-68,Machado,2022-12-01,23247.27,3539.03,77546296934721,Jadlog,276H1BMYDVJ66,2022-12-08,,extraviado,82,2022-12-01 00:00:00
220,NF-000220,3,408,11382675869261,Caldeira Instituto,2023-08-20,19886.23,4619.47,77546296934721,Jadlog,YE3AJ4XKZOZOE,2023-08-30,,devolvido,89,2023-08-21 00:00:00
221,NF-000221,1,506,41928327648350,da Conceição Montenegro - EI,2022-03-11,21867.41,1637.51,77546296934721,Jadlog,QCXM0Z774E69G,2022-03-19,,devolvido,181,2022-03-11 00:00:00
222,NF-000222,3,479,72.099.934/7687-01,Albuquerque,2025-02-14,37140.7,1855.45,77546296934721,Jadlog,I0LZKXKSENZNA,2025-03-06,,devolvido,88,2025-02-15 00:00:00
223,NF-000223,1,174,18.328.569/1463-03,Vasconcelos Colégio,2024-02-12,42338.47,3399.94,07901319850452,Braspress,2B75Y2IRCLNZ7,2024-02-17,,aguardando_coleta,118,2024-02-12 00:00:00
224,NF-000224,1,541,62.962.015/3368-84,Fernandes Escola,2022-04-09,8299.45,3842.82,55481244322208,Correios,EZLPTI4ME0IPC,2022-04-20,,extraviado,18,2022-04-09 00:00:00
225,NF-000225,2,1151,66.912.517/7852-89,Fonseca Instituto,2022-10-05,32776.29,248.45,52000633388700,Sequoia Log,MCO1BKIFH9SFQ,2022-10-11,2022-11-03,entregue,399,2022-10-05 00:00:00
226,NF-000226,2,456,37575844198665,Peixoto - ME,2022-10-16,42075.16,670.84,52000633388700,Sequoia Log,FFCIJ4ZJGI36K,2022-10-25,,extraviado,378,2022-10-16 00:00:00
227,NF-000227,2,750,94717464887719,Azevedo,2025-12-27,34617.03,3363.0,07901319850452,Braspress,SGC2HUYBBTRLG,2026-01-08,,em_transito,201,2025-12-27 00:00:00
228,NF-000228,1,932,66.870.021/7659-18,Câmara,2024-03-28,26270.49,3753.46,07901319850452,Braspress,87DG8N371D1ZF,2024-04-05,2024-04-26,entregue,476,2024-03-28 00:00:00
229,NF-000229,3,950,87.676.772/1903-40,Fogaça Escola,2025-08-11,10914.8,2697.27,07901319850452,Braspress,EEPF0PT0A9D42,2025-08-31,2025-08-24,entregue,154,2025-08-12 00:00:00
230,NF-000230,1,1090,03413164752553,Alves Instituto,2024-12-25,12835.54,3656.93,52000633388700,Sequoia Log,6PII997MK5HW1,2025-01-07,,em_transito,212,2024-12-26 00:00:00
231,NF-000231,1,54,52.312.432/9212-77,Pacheco Colégio,2024-03-14,16607.42,496.4,77546296934721,Jadlog,M3W9B0OQ004G4,2024-03-27,,devolvido,39,2024-03-14 00:00:00
232,NF-000232,3,51,85.807.836/1340-74,Mendonça Colégio,2023-10-17,9632.41,1451.94,07901319850452,Braspress,OO7RRWJK6A9VG,2023-11-04,,aguardando_coleta,402,2023-10-17 00:00:00
233,NF-000233,1,846,37575844198665,Peixoto - ME,2024-12-25,43910.42,4171.05,77546296934721,Jadlog,APU3WZTYOEBSF,2025-01-10,,aguardando_coleta,420,2024-12-26 00:00:00
234,NF-000234,3,614,18.702.621/7459-61,da Conceição S/A,2024-03-05,25343.35,2976.14,50842145100973,Total Express,M2KAEC4E287AX,2024-03-22,,devolvido,193,2024-03-06 00:00:00
235,NF-000235,1,56,62462873342708,Macedo Escola,2025-05-22,24909.24,2715.23,77546296934721,Jadlog,6RYA8GVA4N4GL,2025-06-05,,aguardando_coleta,34,2025-05-23 00:00:00
236,NF-000236,2,66,10.276.773/5925-55,Alves Centro Educacional,2023-01-17,45382.86,2575.93,50842145100973,Total Express,714CEXEXCQN97,2023-01-24,2023-02-12,entregue,110,2023-01-17 00:00:00
237,NF-000237,2,356,62120216979729,Pastor Centro Educacional,2023-04-20,2293.65,315.85,07901319850452,Braspress,NI7B0HBLLG796,2023-05-04,,aguardando_coleta,65,2023-04-21 00:00:00
238,NF-000238,1,288,00722903494466,Campos,2025-04-13,45380.0,3075.4,55481244322208,Correios,N27ITNBPP22WC,2025-05-03,2025-04-27,entregue,356,2025-04-13 00:00:00
239,NF-000239,3,444,93.784.270/1039-30,Pimenta,2025-11-14,2838.95,3212.84,55481244322208,Correios,GA9BTDS8YUYTG,2025-12-03,,em_transito,46,2025-11-14 00:00:00
240,NF-000240,1,388,74315274205493,Fonseca Lopes S/A,2023-02-10,19320.49,4807.94,50842145100973,Total Express,4CRFZG5PEIMNX,2023-02-18,,em_transito,7,2023-02-10 00:00:00
241,NF-000241,1,728,86.571.918/2619-90,das Colégio,2022-04-01,25528.43,1054.52,77546296934721,Jadlog,MRG3ZDM4KCLDV,2022-04-13,,devolvido,107,2022-04-01 00:00:00
242,NF-000242,3,565,01.938.026/2067-24,da Cunha Aparecida e Filhos,2022-03-22,40540.43,3093.36,50842145100973,Total Express,1E90QGCCTX7G7,2022-04-04,,aguardando_coleta,369,2022-03-22 00:00:00
243,NF-000243,1,38,61201836675254,Cassiano Escola,2023-12-06,23136.87,4747.33,50842145100973,Total Express,EQBUFX2C4240T,2023-12-26,,aguardando_coleta,182,2023-12-07 00:00:00
244,NF-000244,2,499,16.560.494/5198-32,da Luz,2024-02-17,19951.9,2574.94,52000633388700,Sequoia Log,TVH2H63HNKCAV,2024-03-05,,aguardando_coleta,48,2024-02-18 00:00:00
245,NF-000245,1,1197,78596969155792,Costela - ME,2025-06-19,11794.4,3671.87,50842145100973,Total Express,YKZUOQPQFNQFL,2025-07-02,2025-07-03,entregue,496,2025-06-20 00:00:00
246,NF-000246,1,615,53315869232260,Nascimento Siqueira S.A.,2022-05-02,28514.9,3097.85,77546296934721,Jadlog,MDCIY1HR9M5HH,2022-05-13,2022-05-13,entregue,24,2022-05-03 00:00:00
247,NF-000247,1,465,89856257532603,Cirino Colégio,2022-04-07,30621.84,2282.52,07901319850452,Braspress,WO6P3O0M6ZXOY,2022-04-12,2022-04-11,entregue,313,2022-04-08 00:00:00
248,NF-000248,1,898,36226609379660,Nogueira Centro Educacional,2024-06-20,1344.52,332.27,50842145100973,Total Express,DI772WNNGYSHU,2024-07-03,,em_transito,43,2024-06-21 00:00:00
249,NF-000249,3,557,40369003432445,Aragão - EI,2022-07-28,8662.35,391.95,07901319850452,Braspress,WSIHQ6BWLZZJ4,2022-08-09,2022-07-31,entregue,220,2022-07-28 00:00:00
250,NF-000250,1,994,12770632424154,Carvalho,2025-03-28,27091.38,2366.6,07901319850452,Braspress,ZI0X1BH7FW9IG,2025-04-10,2025-04-05,entregue,285,2025-03-29 00:00:00
251,NF-000251,3,181,97.643.815/6149-78,Souza Colégio,2025-02-17,15263.63,307.48,55481244322208,Correios,AGUG8T2QARGRA,2025-02-26,,extraviado,23,2025-02-18 00:00:00
252,NF-000252,3,1195,99799552717744,Leão Escola,2024-11-06,29487.98,4494.58,07901319850452,Braspress,KDLRCF0P8SQBV,2024-11-14,,devolvido,16,2024-11-07 00:00:00
253,NF-000253,1,370,43.842.797/8819-14,Leão,2024-12-08,3890.69,750.39,50842145100973,Total Express,WBC19XT9R1EV2,2024-12-22,,em_transito,59,2024-12-08 00:00:00
254,NF-000254,1,324,34670656272980,Cassiano e Filhos,2024-06-04,38522.54,3842.04,07901319850452,Braspress,V1PMNCJ12ZJQU,2024-06-11,2024-06-29,entregue,136,2024-06-05 00:00:00
255,NF-000255,2,213,35.408.386/6317-79,da Luz Ribeiro S/A,2023-09-16,27730.11,1539.89,77546296934721,Jadlog,JWJWNJEW273T5,2023-09-29,,extraviado,173,2023-09-16 00:00:00
256,NF-000256,2,834,36.226.609/3796-60,Nogueira Centro Educacional,2023-10-30,28849.58,799.0,07901319850452,Braspress,GWO1JJOBBMS2V,2023-11-13,,em_transito,77,2023-10-31 00:00:00
257,NF-000257,1,593,65.060.983/5841-68,Marques Instituto,2025-02-18,22601.77,4034.04,52000633388700,Sequoia Log,CNI1RK9E2IJ02,2025-03-01,,devolvido,15,2025-02-19 00:00:00
258,NF-000258,3,708,58.549.733/4843-44,Andrade Escola,2025-11-10,25736.13,193.28,07901319850452,Braspress,WOVUFZD2YLDRK,2025-11-25,,em_transito,42,2025-11-11 00:00:00
259,NF-000259,1,407,36.576.615/6545-27,Guerra Araújo S.A.,2022-05-29,49783.01,52.85,77546296934721,Jadlog,ASD52X4WB2AIR,2022-06-13,,extraviado,58,2022-05-30 00:00:00
260,NF-000260,1,90,16.560.494/5198-32,da Luz,2025-01-26,30306.08,4866.0,77546296934721,Jadlog,R2U4ZIB80S3M7,2025-02-12,,em_transito,396,2025-01-27 00:00:00
261,NF-000261,1,86,28.498.776/9453-14,Vargas Escola,2024-12-07,44736.88,4708.07,50842145100973,Total Express,FMTT1BEXD20A3,2024-12-14,,extraviado,498,2024-12-08 00:00:00
262,NF-000262,1,1061,06.797.403/4471-34,Araújo Escola,2024-10-28,14084.8,1742.14,52000633388700,Sequoia Log,IUYYI4TG87JJ7,2024-11-04,,extraviado,365,2024-10-29 00:00:00
263,NF-000263,3,797,25871397187072,Sampaio Colégio,2025-06-14,22749.39,2768.45,50842145100973,Total Express,A9RR8LMFD9X9A,2025-07-04,,em_transito,142,2025-06-14 00:00:00
264,NF-000264,1,563,09.130.756/2636-89,Alves Escola,2023-02-24,11207.84,4514.76,52000633388700,Sequoia Log,DIOGGG0JMKPKH,2023-03-08,2023-03-18,entregue,404,2023-02-25 00:00:00
265,NF-000265,1,996,58.549.733/4843-44,Andrade Escola,2022-04-25,38416.32,3578.06,52000633388700,Sequoia Log,F35YPEGP1FRN5,2022-05-09,,devolvido,462,2022-04-25 00:00:00
266,NF-000266,3,291,61.379.180/5526-96,da Cunha,2022-06-07,34090.04,4755.57,50842145100973,Total Express,EVZA7QKAUW224,2022-06-19,2022-06-14,entregue,71,2022-06-08 00:00:00
267,NF-000267,3,862,35.403.317/3936-38,Borges,2024-07-10,16111.84,4559.82,55481244322208,Correios,47RXD4CD1QCB6,2024-07-15,,aguardando_coleta,35,2024-07-11 00:00:00
268,NF-000268,1,853,35.680.442/0678-83,Vieira - EI,2022-07-24,18247.01,1463.52,52000633388700,Sequoia Log,CULKV0C67E9QX,2022-08-02,,em_transito,53,2022-07-25 00:00:00
269,NF-000269,2,452,40.369.003/4324-45,Aragão - EI,2022-08-09,13676.26,4543.19,07901319850452,Braspress,0A7BEECOT9DGY,2022-08-23,2022-09-08,entregue,136,2022-08-10 00:00:00
