id,subject,description,status,priority,type,requester_id,submitter_id,assignee_id,organization_id,tags,custom_field_order_ref,custom_field_cnpj,satisfaction_score,satisfaction_comment,created_at,updated_at,solved_at,due_at
319,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,low,problem,159,159,429,,senha,,,bad,,2022-01-21 00:00:00,2022-01-21 00:00:00,2022-01-22 00:00:00,2022-01-25 00:00:00
320,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,open,high,problem,103,103,437,90,falta_material entrega cancelamento,807,,,,2024-05-07 00:00:00,2024-05-13 00:00:00,,2024-05-09 00:00:00
321,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,new,low,question,113,113,401,59,cancelamento financeiro acesso,698,73.543.323/4776-55,,,2025-09-10 00:00:00,2025-10-06 00:00:00,,2025-09-14 00:00:00
322,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,open,urgent,task,147,147,418,35,acesso atraso pagamento,,,,,2023-02-28 00:00:00,2023-03-29 00:00:00,,2023-03-02 00:00:00
323,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,open,urgent,problem,106,106,427,188,pagamento financeiro nota_fiscal,,,,,2022-04-08 00:00:00,2022-04-11 00:00:00,,2022-04-13 00:00:00
324,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,solved,low,problem,150,150,384,48,pagamento nota_fiscal boleto acesso,,32.102.529/0706-26,good,,2024-09-03 00:00:00,2024-09-12 00:00:00,2024-09-10 00:00:00,2024-09-08 00:00:00
325,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,new,urgent,task,36,36,405,284,pagamento acesso,826,72.455.627/8486-97,,,2023-05-14 00:00:00,2023-05-16 00:00:00,,2023-05-22 00:00:00
326,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,new,urgent,incident,351,351,391,304,pagamento cancelamento contrato,,,,,2023-05-25 00:00:00,2023-06-03 00:00:00,,2023-05-31 00:00:00
327,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,pending,low,problem,182,182,386,307,plataforma,324,76.416.504/4932-43,,,2022-04-12 00:00:00,2022-04-22 00:00:00,,2022-04-20 00:00:00
328,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,solved,urgent,question,322,322,421,307,falta_material material_danificado troca devolução,1212,,,,2023-01-05 00:00:00,2023-02-03 00:00:00,2023-01-18 00:00:00,2023-01-08 00:00:00
329,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,new,low,question,169,169,455,,acesso suporte_técnico pagamento devolução,,,,,2025-01-19 00:00:00,2025-02-18 00:00:00,,2025-01-22 00:00:00
330,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,pending,high,task,59,59,423,125,senha,,59.880.129/8173-41,,,2022-04-16 00:00:00,2022-05-01 00:00:00,,2022-04-20 00:00:00
331,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,open,normal,task,355,355,420,54,erro_sistema,712,,,,2024-08-08 00:00:00,2024-08-21 00:00:00,,2024-08-14 00:00:00
332,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,pending,high,incident,141,141,430,,urgente falta_material nota_fiscal,,,,,2025-08-31 00:00:00,2025-09-05 00:00:00,,2025-09-03 00:00:00
333,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,pending,urgent,problem,36,36,426,284,suporte_técnico erro_sistema acesso atraso,,,,,2023-09-20 00:00:00,2023-10-20 00:00:00,,2023-09-24 00:00:00
334,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,high,incident,195,195,468,7,urgente senha material_danificado pagamento,,,,,2022-12-23 00:00:00,2022-12-22 00:00:00,,2022-12-28 00:00:00
335,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,new,urgent,question,269,269,396,77,devolução,378,39.402.285/2566-78,,,2024-12-23 00:00:00,2025-01-14 00:00:00,,2024-12-23 00:00:00
336,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,closed,low,question,288,288,473,262,contrato atraso,,,good,,2023-02-22 00:00:00,2023-03-02 00:00:00,2023-03-04 00:00:00,2023-02-24 00:00:00
337,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,new,urgent,question,236,236,456,120,acesso login boleto,359,,,,2025-10-12 00:00:00,2025-11-04 00:00:00,,2025-10-16 00:00:00
338,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,pending,high,problem,154,154,398,176,nota_fiscal pagamento,1089,01.860.868/7315-49,,,2022-04-01 00:00:00,2022-04-19 00:00:00,,2022-04-08 00:00:00
339,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,closed,low,incident,363,363,463,146,plataforma,,76.524.516/0969-33,,,2022-04-05 00:00:00,2022-04-27 00:00:00,2022-04-06 00:00:00,2022-04-11 00:00:00
340,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,solved,low,task,298,298,410,280,plataforma devolução senha,,36.624.805/0359-56,,,2022-05-03 00:00:00,2022-05-24 00:00:00,2022-05-07 00:00:00,2022-05-05 00:00:00
341,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,solved,low,problem,131,131,390,107,atraso,,,bad,Tive que abrir outro ticket,2022-04-20 00:00:00,2022-04-29 00:00:00,2022-04-23 00:00:00,2022-04-23 00:00:00
342,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,new,urgent,question,311,311,427,8,entrega cancelamento urgente login,920,,,,2023-09-29 00:00:00,2023-10-07 00:00:00,,2023-10-02 00:00:00
343,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,solved,low,incident,346,346,429,,digital cancelamento acesso,,39.818.557/4388-27,,,2024-06-23 00:00:00,2024-06-24 00:00:00,2024-07-02 00:00:00,2024-06-25 00:00:00
344,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,closed,normal,question,299,299,476,10,nota_fiscal plataforma boleto senha,366,,,,2025-03-08 00:00:00,2025-03-15 00:00:00,2025-03-09 00:00:00,2025-03-12 00:00:00
345,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,open,low,incident,154,154,382,176,acesso contrato boleto senha,,,,,2025-10-18 00:00:00,2025-10-24 00:00:00,,2025-10-25 00:00:00
346,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,new,normal,problem,109,109,458,188,financeiro devolução acesso troca,1018,,,,2024-06-13 00:00:00,2024-07-05 00:00:00,,2024-06-17 00:00:00
347,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,solved,low,task,183,183,448,14,boleto acesso cancelamento senha,,6358354937,good,,2022-02-26 00:00:00,2022-03-09 00:00:00,2022-03-15 00:00:00,2022-03-06 00:00:00
348,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,open,low,question,285,285,424,132,atraso,,81.017.560/9925-25,,,2024-12-05 00:00:00,2024-12-27 00:00:00,,2024-12-11 00:00:00
349,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,solved,high,question,17,17,443,36,acesso nota_fiscal senha,51,,,,2022-10-06 00:00:00,2022-10-17 00:00:00,2022-10-05 00:00:00,2022-10-09 00:00:00
350,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,solved,urgent,task,262,262,419,196,cancelamento pagamento,239,,,,2023-09-08 00:00:00,2023-09-11 00:00:00,2023-09-09 00:00:00,2023-09-10 00:00:00
351,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,open,high,problem,9,9,383,14,atraso cancelamento nota_fiscal,,,,,2022-10-08 00:00:00,2022-10-24 00:00:00,,2022-10-10 00:00:00
352,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,open,normal,task,213,213,416,107,boleto,1036,,,,2023-04-05 00:00:00,2023-04-18 00:00:00,,2023-04-09 00:00:00
353,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,pending,high,incident,31,31,438,289,urgente,,,,,2022-11-05 00:00:00,2022-11-28 00:00:00,,2022-11-08 00:00:00
354,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,new,low,task,189,189,466,251,urgente,,,,,2022-03-03 00:00:00,2022-03-13 00:00:00,,2022-03-07 00:00:00
355,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,new,normal,question,93,93,399,88,senha devolução suporte_técnico,298,,,,2022-04-12 00:00:00,2022-04-30 00:00:00,,2022-04-15 00:00:00
356,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,open,high,problem,363,363,432,146,plataforma,,,,,2025-04-11 00:00:00,2025-04-13 00:00:00,,2025-04-18 00:00:00
357,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,closed,low,problem,18,18,384,,senha material_danificado atraso nota_fiscal,,,bad,Tive que abrir outro ticket,2022-04-16 00:00:00,2022-04-29 00:00:00,2022-05-08 00:00:00,2022-04-17 00:00:00
358,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,normal,incident,264,264,435,271,digital cancelamento falta_material material_danificado,172,10.188.542/7796-97,,,2025-02-17 00:00:00,2025-02-16 00:00:00,2025-02-22 00:00:00,2025-02-23 00:00:00
359,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,new,high,incident,89,89,431,276,material_danificado cancelamento pagamento troca,580,1211257878,,,2024-11-22 00:00:00,2024-12-17 00:00:00,,2024-11-27 00:00:00
360,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,closed,urgent,incident,12,12,393,94,cancelamento,749,77.251.982/4900-81,,,2023-03-18 00:00:00,2023-03-23 00:00:00,2023-03-20 00:00:00,2023-03-20 00:00:00
361,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,new,normal,question,231,231,396,5,erro_sistema plataforma digital financeiro,,,,,2024-03-01 00:00:00,2024-03-18 00:00:00,,2024-03-05 00:00:00
362,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,closed,normal,problem,163,163,394,93,digital financeiro,,,,,2024-09-25 00:00:00,2024-10-09 00:00:00,2024-09-28 00:00:00,2024-09-29 00:00:00
363,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,solved,normal,question,221,221,475,113,cancelamento pagamento,,,good,,2022-02-25 00:00:00,2022-03-17 00:00:00,2022-03-07 00:00:00,2022-02-28 00:00:00
364,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,urgent,problem,36,36,403,284,login digital,,,,,2025-03-07 00:00:00,2025-03-20 00:00:00,,2025-03-09 00:00:00
365,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,solved,low,problem,178,178,402,,atraso,,,,,2023-09-29 00:00:00,2023-10-11 00:00:00,2023-10-02 00:00:00,2023-10-04 00:00:00
366,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,solved,low,problem,62,62,454,200,boleto,,,,,2024-08-29 00:00:00,2024-09-03 00:00:00,2024-09-03 00:00:00,2024-09-06 00:00:00
367,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,closed,urgent,incident,121,121,396,1,falta_material cancelamento digital,105,95.334.807/8511-95,bad,,2023-04-30 00:00:00,2023-05-25 00:00:00,2023-04-29 00:00:00,2023-05-06 00:00:00
368,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,solved,low,question,116,116,426,77,pagamento,,2887387724,,,2024-03-04 00:00:00,2024-03-11 00:00:00,2024-03-05 00:00:00,2024-03-05 00:00:00
369,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,open,normal,task,317,317,398,275,urgente,87,2104986081,,,2023-12-29 00:00:00,2023-12-30 00:00:00,,2023-12-29 00:00:00
370,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,solved,urgent,task,186,186,435,,nota_fiscal atraso,,68.505.763/0235-34,good,,2024-10-19 00:00:00,2024-11-05 00:00:00,2024-10-18 00:00:00,2024-10-23 00:00:00
371,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,pending,urgent,question,311,311,463,8,financeiro falta_material troca,,,,,2022-07-01 00:00:00,2022-07-01 00:00:00,,2022-07-03 00:00:00
372,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,open,low,incident,367,367,414,118,material_danificado acesso entrega devolução,10,,,,2025-11-20 00:00:00,2025-12-19 00:00:00,,2025-11-24 00:00:00
373,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,pending,normal,task,248,248,472,266,devolução nota_fiscal financeiro,,2067361681,,,2024-07-31 00:00:00,2024-08-24 00:00:00,,2024-08-04 00:00:00
374,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,pending,urgent,problem,48,48,468,268,entrega falta_material cancelamento,90,,,,2023-09-21 00:00:00,2023-09-28 00:00:00,,2023-09-22 00:00:00
375,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,open,high,task,271,271,417,222,pagamento,,,,,2023-02-20 00:00:00,2023-03-13 00:00:00,,2023-02-23 00:00:00
376,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,pending,normal,question,68,68,428,269,digital nota_fiscal,374,,,,2025-11-24 00:00:00,2025-12-01 00:00:00,,2025-12-01 00:00:00
377,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,solved,urgent,task,301,301,399,105,falta_material troca devolução,,,good,,2025-09-02 00:00:00,2025-09-14 00:00:00,2025-09-12 00:00:00,2025-09-08 00:00:00
378,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,open,low,task,76,76,425,72,entrega,,,,,2025-12-06 00:00:00,2025-12-09 00:00:00,,2025-12-09 00:00:00
379,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,closed,high,incident,115,115,407,287,financeiro suporte_técnico,,,,,2022-03-18 00:00:00,2022-04-17 00:00:00,2022-04-12 00:00:00,2022-03-19 00:00:00
380,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,new,low,task,201,201,460,124,acesso entrega nota_fiscal,145,55.429.555/7239-92,,,2022-05-27 00:00:00,2022-06-19 00:00:00,,2022-05-27 00:00:00
381,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,new,low,problem,280,280,445,130,devolução plataforma atraso,857,,,,2024-04-25 00:00:00,2024-05-03 00:00:00,,2024-04-28 00:00:00
382,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,pending,urgent,task,360,360,384,55,digital,,48.094.402/5934-60,,,2025-04-23 00:00:00,2025-05-17 00:00:00,,2025-04-28 00:00:00
383,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,pending,high,task,88,88,395,193,troca,,,,,2024-09-19 00:00:00,2024-09-30 00:00:00,,2024-09-21 00:00:00
384,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,new,urgent,question,322,322,475,307,falta_material digital urgente,1668,,,,2025-09-09 00:00:00,2025-10-06 00:00:00,,2025-09-10 00:00:00
385,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,pending,high,task,81,81,471,173,pagamento,,07.317.154/3090-46,,,2024-01-03 00:00:00,2024-01-28 00:00:00,,2024-01-06 00:00:00
386,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,urgent,question,235,235,437,302,plataforma material_danificado digital,134,6526618901,,,2023-11-25 00:00:00,2023-12-20 00:00:00,,2023-11-26 00:00:00
387,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,solved,urgent,task,130,130,401,67,contrato material_danificado devolução,551,,,,2023-10-25 00:00:00,2023-10-31 00:00:00,2023-10-27 00:00:00,2023-10-25 00:00:00
388,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,open,urgent,problem,2,2,441,270,troca login,,,,,2022-08-31 00:00:00,2022-09-10 00:00:00,,2022-09-06 00:00:00
389,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,solved,normal,problem,69,69,459,30,financeiro,,,good,,2025-12-04 00:00:00,2025-12-15 00:00:00,2025-12-05 00:00:00,2025-12-08 00:00:00
390,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,pending,urgent,incident,343,343,435,237,senha,370,36.164.580/5992-65,,,2023-11-25 00:00:00,2023-11-29 00:00:00,,2023-11-27 00:00:00
391,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,normal,task,299,299,454,10,entrega contrato digital,248,,,,2022-04-29 00:00:00,2022-05-12 00:00:00,,2022-05-01 00:00:00
392,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,low,incident,198,198,431,142,suporte_técnico,622,0431052687,,,2022-01-02 00:00:00,2022-01-21 00:00:00,,2022-01-03 00:00:00
393,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,pending,urgent,task,284,284,389,152,falta_material,691,1369153868,,,2022-09-21 00:00:00,2022-10-09 00:00:00,,2022-09-25 00:00:00
394,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,new,normal,question,232,232,441,292,plataforma pagamento senha,266,,,,2024-11-19 00:00:00,2024-12-09 00:00:00,,2024-11-27 00:00:00
395,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,open,low,question,42,42,437,,troca pagamento plataforma devolução,570,,,,2022-10-12 00:00:00,2022-11-03 00:00:00,,2022-10-19 00:00:00
396,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,closed,normal,task,38,38,414,216,plataforma,347,,good,,2025-07-26 00:00:00,2025-08-23 00:00:00,2025-07-31 00:00:00,2025-07-29 00:00:00
397,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,open,high,problem,24,24,445,,contrato plataforma senha,688,,,,2024-07-29 00:00:00,2024-08-06 00:00:00,,2024-08-02 00:00:00
398,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,open,high,incident,221,221,466,113,suporte_técnico atraso senha erro_sistema,440,,,,2023-03-04 00:00:00,2023-03-16 00:00:00,,2023-03-09 00:00:00
399,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,new,urgent,incident,198,198,444,142,plataforma boleto entrega material_danificado,,39.345.174/7939-89,,,2022-09-08 00:00:00,2022-09-11 00:00:00,,2022-09-09 00:00:00
400,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,open,low,question,356,356,434,265,nota_fiscal troca,,,,,2023-09-29 00:00:00,2023-10-09 00:00:00,,2023-10-04 00:00:00
401,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,new,high,question,88,88,449,193,digital cancelamento,1229,,,,2024-05-01 00:00:00,2024-05-28 00:00:00,,2024-05-06 00:00:00
402,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,solved,high,task,201,201,445,124,suporte_técnico erro_sistema,,,good,,2024-04-01 00:00:00,2024-04-20 00:00:00,2024-04-03 00:00:00,2024-04-03 00:00:00
403,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,closed,low,problem,354,354,471,59,devolução material_danificado pagamento financeiro,,79.197.074/6324-68,good,,2024-11-06 00:00:00,2024-11-20 00:00:00,2024-11-07 00:00:00,2024-11-10 00:00:00
404,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,closed,high,question,125,125,387,164,senha urgente atraso boleto,,84.565.730/5785-74,good,,2023-08-06 00:00:00,2023-08-21 00:00:00,2023-08-09 00:00:00,2023-08-10 00:00:00
405,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,closed,low,question,106,106,438,188,nota_fiscal acesso boleto,,,,,2024-04-26 00:00:00,2024-05-13 00:00:00,2024-05-13 00:00:00,2024-04-29 00:00:00
406,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,solved,urgent,question,220,220,416,120,nota_fiscal,973,,,,2022-04-13 00:00:00,2022-05-01 00:00:00,2022-04-22 00:00:00,2022-04-15 00:00:00
407,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,pending,low,incident,4,4,413,,urgente troca,,,,,2024-10-15 00:00:00,2024-10-19 00:00:00,,2024-10-21 00:00:00
408,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,open,normal,question,10,10,479,112,digital entrega,,,,,2023-02-13 00:00:00,2023-02-25 00:00:00,,2023-02-19 00:00:00
409,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,open,urgent,incident,86,86,418,186,digital atraso,,,,,2024-05-15 00:00:00,2024-05-22 00:00:00,,2024-05-21 00:00:00
410,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,pending,high,question,275,275,452,208,atraso erro_sistema nota_fiscal,,,,,2025-05-21 00:00:00,2025-05-23 00:00:00,,2025-05-26 00:00:00
411,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,solved,high,incident,120,120,397,259,suporte_técnico,,21.342.988/0387-40,good,,2025-12-11 00:00:00,2025-12-12 00:00:00,2025-12-13 00:00:00,2025-12-19 00:00:00
412,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,closed,high,question,85,85,431,288,material_danificado pagamento digital contrato,,50.187.446/0768-89,,,2024-03-16 00:00:00,2024-04-03 00:00:00,2024-03-17 00:00:00,2024-03-23 00:00:00
413,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,normal,question,212,212,475,67,contrato,,,,,2025-11-08 00:00:00,2025-11-21 00:00:00,,2025-11-13 00:00:00
414,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,new,high,question,209,209,406,20,login troca falta_material material_danificado,652,,,,2025-11-17 00:00:00,2025-11-23 00:00:00,,2025-11-19 00:00:00
415,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,open,normal,incident,22,22,417,163,boleto contrato digital,,,,,2023-07-29 00:00:00,2023-08-21 00:00:00,,2023-08-03 00:00:00
416,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,pending,urgent,incident,317,317,453,275,erro_sistema login,33,,,,2023-01-11 00:00:00,2023-02-10 00:00:00,,2023-01-13 00:00:00
417,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,new,urgent,task,206,206,472,78,erro_sistema nota_fiscal plataforma,,,,,2024-12-11 00:00:00,2025-01-04 00:00:00,,2024-12-16 00:00:00
418,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,new,low,question,182,182,444,307,nota_fiscal suporte_técnico entrega,,4519851382,,,2024-03-09 00:00:00,2024-04-05 00:00:00,,2024-03-12 00:00:00
419,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,new,high,question,238,238,389,307,falta_material,,,,,2022-05-10 00:00:00,2022-06-06 00:00:00,,2022-05-17 00:00:00
420,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,closed,urgent,task,163,163,476,93,entrega material_danificado nota_fiscal,139,24.342.521/3812-58,,,2024-12-14 00:00:00,2024-12-17 00:00:00,2024-12-15 00:00:00,2024-12-20 00:00:00
421,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,high,problem,248,248,433,266,plataforma urgente,,,good,,2024-06-14 00:00:00,2024-07-02 00:00:00,2024-06-22 00:00:00,2024-06-17 00:00:00
422,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,closed,normal,problem,101,101,404,83,senha acesso contrato atraso,297,,,,2023-10-28 00:00:00,2023-11-05 00:00:00,2023-10-30 00:00:00,2023-11-01 00:00:00
423,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,low,incident,135,135,457,236,entrega troca,,,,,2025-11-21 00:00:00,2025-12-04 00:00:00,,2025-11-23 00:00:00
424,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,open,normal,problem,341,341,383,,urgente pagamento,,70.360.023/3239-02,,,2025-05-27 00:00:00,2025-06-02 00:00:00,,2025-05-27 00:00:00
425,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,pending,urgent,task,33,33,465,267,troca,,4765235923,,,2023-08-01 00:00:00,2023-08-08 00:00:00,,2023-08-02 00:00:00
426,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,low,incident,274,274,474,156,plataforma cancelamento contrato atraso,,,,,2023-06-03 00:00:00,2023-06-12 00:00:00,,2023-06-04 00:00:00
427,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,new,urgent,question,268,268,408,10,acesso contrato,,83.862.192/2556-75,,,2022-01-03 00:00:00,2022-01-22 00:00:00,,2022-01-11 00:00:00
428,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,closed,urgent,question,181,181,426,157,atraso financeiro login,171,8906307493,good,,2025-05-09 00:00:00,2025-05-24 00:00:00,2025-05-31 00:00:00,2025-05-15 00:00:00
429,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,low,problem,284,284,459,152,plataforma devolução,,41.490.056/3561-96,,,2023-07-06 00:00:00,2023-08-05 00:00:00,,2023-07-08 00:00:00
430,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,solved,low,problem,71,71,444,95,digital entrega,,,,,2024-11-25 00:00:00,2024-12-22 00:00:00,2024-12-05 00:00:00,2024-11-29 00:00:00
431,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,open,urgent,task,9,9,406,14,devolução plataforma suporte_técnico material_danificado,,,,,2023-07-03 00:00:00,2023-07-17 00:00:00,,2023-07-11 00:00:00
432,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,solved,normal,task,106,106,471,188,nota_fiscal atraso pagamento boleto,1684,3897643859,,,2022-09-07 00:00:00,2022-10-01 00:00:00,2022-09-08 00:00:00,2022-09-14 00:00:00
433,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,pending,urgent,task,3,3,396,103,material_danificado boleto atraso troca,,,,,2023-01-04 00:00:00,2023-01-17 00:00:00,,2023-01-06 00:00:00
434,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,urgent,problem,75,75,387,,entrega,1280,,,,2025-12-03 00:00:00,2025-12-16 00:00:00,2025-12-16 00:00:00,2025-12-08 00:00:00
435,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,solved,high,task,62,62,405,200,contrato boleto troca plataforma,806,,good,,2024-12-20 00:00:00,2025-01-06 00:00:00,2024-12-30 00:00:00,2024-12-27 00:00:00
436,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,new,low,task,257,257,462,67,financeiro troca erro_sistema nota_fiscal,471,,,,2022-09-06 00:00:00,2022-09-07 00:00:00,,2022-09-09 00:00:00
437,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,open,urgent,question,139,139,382,34,erro_sistema cancelamento,,46.823.831/9834-04,,,2023-04-23 00:00:00,2023-05-13 00:00:00,,2023-04-26 00:00:00
438,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,closed,low,task,289,289,421,161,troca senha,,,bad,Demorou muito,2025-02-14 00:00:00,2025-02-28 00:00:00,2025-02-26 00:00:00,2025-02-20 00:00:00
