DocEntry,DocNum,CardCode,BaseEntry,DocDate,DocStatus,Cancelled,CreateDate
489,489,C00200,1036,2024-10-15,O,N,2024-10-15
490,490,C00232,1574,2022-10-27,C,N,2022-10-27
491,491,C00199,292,2023-03-26,O,N,2023-03-26
492,492,C00229,1065,2024-04-11,O,N,2024-04-11
493,493,C00006,188,2025-09-16,C,N,2025-09-16
494,494,C00121,1498,2023-01-15,O,N,2023-01-15
495,495,C00055,1653,2024-12-26,C,N,2024-12-26
496,496,C00152,763,2023-12-27,C,N,2023-12-27
497,497,C00018,157,2022-12-29,C,N,2022-12-29
498,498,C00144,496,2023-07-08,C,N,2023-07-08
499,499,C00212,1355,2025-12-09,O,N,2025-12-09
500,500,C00260,120,2025-07-30,C,N,2025-07-30
501,501,C00168,1469,2022-07-04,C,N,2022-07-04
502,502,C00237,1418,2022-04-05,C,N,2022-04-05
503,503,C00053,1599,2025-06-06,C,N,2025-06-06
504,504,C00020,974,2024-09-23,C,N,2024-09-23
505,505,C00011,1766,2022-08-24,O,N,2022-08-24
506,506,C00079,1172,2025-10-20,C,N,2025-10-20
507,507,C00128,36,2023-10-23,O,N,2023-10-23
508,508,C00032,1206,2024-10-28,C,N,2024-10-28
509,509,C00142,1617,2022-06-19,C,N,2022-06-19
510,510,C00175,1092,2022-05-18,C,N,2022-05-18
511,511,C00205,627,2023-07-31,C,N,2023-07-31
512,512,C00155,1749,2023-11-08,C,N,2023-11-08
513,513,C00119,987,2025-10-31,C,N,2025-10-31
514,514,C00073,1105,2024-07-15,C,N,2024-07-15
515,515,C00097,900,2024-10-26,C,N,2024-10-26
516,516,C00201,1593,2023-02-01,C,N,2023-02-01
517,517,C00038,484,2025-07-08,C,N,2025-07-08
518,518,C00032,467,2022-12-16,C,N,2022-12-16
519,519,C00142,935,2025-11-17,C,N,2025-11-17
520,520,C00095,476,2024-03-27,C,N,2024-03-27
521,521,C00254,1232,2023-02-10,O,N,2023-02-10
522,522,C00030,1318,2024-12-09,O,N,2024-12-09
523,523,C00044,710,2025-07-07,C,N,2025-07-07
524,524,C00191,1061,2022-10-23,C,N,2022-10-23
525,525,C00260,405,2024-12-20,C,N,2024-12-20
526,526,C00191,67,2024-11-06,C,N,2024-11-06
527,527,C00156,289,2023-10-12,C,N,2023-10-12
528,528,C00217,114,2023-07-22,C,N,2023-07-22
529,529,C00192,1334,2025-09-28,O,N,2025-09-28
530,530,C00039,683,2023-11-26,C,N,2023-11-26
531,531,C00242,1397,2024-08-04,C,N,2024-08-04
532,532,C00073,268,2022-04-08,C,N,2022-04-08
533,533,C00144,137,2022-04-29,C,N,2022-04-29
534,534,C00130,654,2024-10-04,C,Y,2024-10-04
535,535,C00206,1168,2025-12-31,C,N,2025-12-31
536,536,C00003,211,2025-08-15,C,N,2025-08-15
537,537,C00176,1471,2024-10-10,C,N,2024-10-10
538,538,C00234,1650,2024-09-27,C,N,2024-09-27
539,539,C00010,898,2024-02-16,C,N,2024-02-16
540,540,C00125,1145,2022-10-08,C,N,2022-10-08
541,541,C00209,196,2023-11-08,C,N,2023-11-08
542,542,C00241,524,2024-03-17,O,N,2024-03-17
543,543,C00139,1155,2023-02-08,C,Y,2023-02-08
544,544,C00085,1660,2022-04-05,O,N,2022-04-05
545,545,C00159,1367,2022-08-20,C,N,2022-08-20
546,546,C00240,1763,2023-06-19,C,N,2023-06-19
547,547,C00220,459,2024-03-20,C,N,2024-03-20
548,548,C00008,1666,2022-05-28,C,N,2022-05-28
549,549,C00247,1706,2023-02-14,C,N,2023-02-14
550,550,C00025,433,2023-04-29,C,N,2023-04-29
551,551,C00148,1370,2022-02-08,C,N,2022-02-08
552,552,C00184,298,2024-01-06,O,N,2024-01-06
553,553,C00015,466,2024-03-02,C,N,2024-03-02
554,554,C00234,698,2024-08-01,C,N,2024-08-01
555,555,C00043,296,2023-11-14,C,N,2023-11-14
556,556,C00042,604,2025-10-01,C,N,2025-10-01
557,557,C00236,429,2023-09-10,O,N,2023-09-10
558,558,C00079,1052,2026-02-12,O,Y,2026-02-12
559,559,C00015,245,2023-12-18,C,N,2023-12-18
560,560,C00220,98,2024-08-02,C,N,2024-08-02
561,561,C00106,1214,2024-07-19,C,N,2024-07-19
562,562,C00151,217,2023-10-23,C,N,2023-10-23
563,563,C00066,1777,2023-02-05,C,N,2023-02-05
564,564,C00058,854,2022-04-12,O,N,2022-04-12
565,565,C00105,1338,2024-02-27,C,N,2024-02-27
566,566,C00165,1444,2025-12-25,C,N,2025-12-25
567,567,C00237,716,2023-01-02,O,N,2023-01-02
568,568,C00022,231,2022-04-17,O,N,2022-04-17
569,569,C00061,1369,2022-03-19,C,N,2022-03-19
570,570,C00104,1552,2024-03-24,C,N,2024-03-24
571,571,C00152,1201,2022-05-02,C,N,2022-05-02
572,572,C00213,155,2022-11-12,C,N,2022-11-12
573,573,C00155,887,2024-01-27,C,N,2024-01-27
574,574,C00117,595,2024-10-18,C,N,2024-10-18
575,575,C00176,92,2023-03-28,C,N,2023-03-28
576,576,C00255,578,2025-07-31,O,N,2025-07-31
577,577,C00126,57,2022-11-23,C,N,2022-11-23
578,578,C00133,492,2025-12-08,O,N,2025-12-08
579,579,C00227,1312,2023-11-07,C,N,2023-11-07
580,580,C00232,861,2025-05-11,C,Y,2025-05-11
581,581,C00132,286,2022-09-11,C,N,2022-09-11
582,582,C00003,255,2025-06-30,C,N,2025-06-30
583,583,C00023,243,2022-08-18,O,N,2022-08-18
584,584,C00030,1143,2022-12-31,C,N,2022-12-31
585,585,C00199,45,2022-12-16,C,N,2022-12-16
586,586,C00259,939,2023-07-17,C,N,2023-07-17
587,587,C00075,81,2022-07-26,C,Y,2022-07-26
588,588,C00052,600,2025-05-23,C,N,2025-05-23
589,589,C00145,528,2022-07-21,C,N,2022-07-21
590,590,C00029,1576,2024-10-21,C,N,2024-10-21
591,591,C00143,176,2025-12-15,C,N,2025-12-15
592,592,C00162,1458,2025-04-29,C,N,2025-04-29
593,593,C00161,657,2023-04-08,O,N,2023-04-08
594,594,C00231,1513,2024-02-28,C,N,2024-02-28
595,595,C00243,323,2025-05-30,C,N,2025-05-30
596,596,C00193,1361,2023-11-18,C,N,2023-11-18
597,597,C00190,246,2023-06-06,O,N,2023-06-06
598,598,C00043,373,2023-03-23,O,N,2023-03-23
599,599,C00257,1761,2024-10-01,C,N,2024-10-01
600,600,C00153,808,2023-12-19,C,N,2023-12-19
601,601,C00012,322,2022-12-21,C,N,2022-12-21
602,602,C00056,548,2022-08-31,O,N,2022-08-31
603,603,C00004,1306,2023-09-04,C,N,2023-09-04
604,604,C00223,141,2024-04-25,C,N,2024-04-25
605,605,C00037,1186,2023-01-16,C,N,2023-01-16
606,606,C00146,681,2025-07-16,C,N,2025-07-16
607,607,C00263,46,2025-09-01,C,N,2025-09-01
608,608,C00083,1635,2024-06-03,C,N,2024-06-03
609,609,C00028,1514,2023-11-28,O,N,2023-11-28
610,610,C00236,903,2025-04-29,C,N,2025-04-29
611,611,C00101,632,2025-10-27,C,N,2025-10-27
612,612,C00092,174,2024-07-04,C,N,2024-07-04
613,613,C00096,734,2023-11-06,C,N,2023-11-06
614,614,C00101,40,2023-06-19,C,N,2023-06-19
615,615,C00154,792,2023-12-24,O,N,2023-12-24
616,616,C00196,1264,2025-03-25,O,N,2025-03-25
617,617,C00244,712,2024-05-21,C,N,2024-05-21
618,618,C00013,830,2025-10-11,C,N,2025-10-11
619,619,C00205,1287,2022-11-21,C,Y,2022-11-21
620,620,C00137,190,2025-12-21,C,Y,2025-12-21
621,621,C00221,163,2025-10-23,C,Y,2025-10-23
622,622,C00083,1670,2025-01-15,C,N,2025-01-15
623,623,C00206,546,2025-11-05,C,N,2025-11-05
624,624,C00148,480,2024-08-20,C,N,2024-08-20
625,625,C00008,169,2024-12-26,O,N,2024-12-26
626,626,C00069,1478,2023-12-10,C,N,2023-12-10
627,627,C00220,482,2024-10-17,C,N,2024-10-17
628,628,C00185,1644,2023-09-17,O,N,2023-09-17
629,629,C00187,1391,2025-03-24,C,N,2025-03-24
630,630,C00037,206,2025-05-17,O,N,2025-05-17
631,631,C00149,1396,2025-01-10,C,N,2025-01-10
632,632,C00034,1350,2024-07-11,C,N,2024-07-11
633,633,C00187,1421,2023-03-08,C,N,2023-03-08
634,634,C00179,1724,2025-12-13,O,N,2025-12-13
635,635,C00022,339,2022-03-22,C,N,2022-03-22
636,636,C00059,343,2025-02-10,C,Y,2025-02-10
637,637,C00148,451,2026-02-16,O,N,2026-02-16
638,638,C00111,790,2024-09-30,C,N,2024-09-30
639,639,C00032,864,2023-12-20,O,N,2023-12-20
640,640,C00073,1229,2023-08-04,C,N,2023-08-04
641,641,C00184,601,2022-12-29,O,N,2022-12-29
642,642,C00220,1031,2025-02-18,C,N,2025-02-18
643,643,C00066,367,2024-02-28,O,N,2024-02-28
644,644,C00255,922,2023-12-20,C,N,2023-12-20
645,645,C00038,1627,2024-01-15,O,N,2024-01-15
646,646,C00109,1780,2024-02-03,C,N,2024-02-03
647,647,C00246,955,2024-10-22,C,N,2024-10-22
648,648,C00175,1483,2025-09-26,C,N,2025-09-26
649,649,C00004,504,2025-03-29,C,N,2025-03-29
650,650,C00241,207,2024-07-12,C,N,2024-07-12
651,651,C00181,905,2025-04-25,O,N,2025-04-25
652,652,C00089,685,2025-04-15,C,N,2025-04-15
653,653,C00206,1122,2024-03-08,O,N,2024-03-08
654,654,C00264,953,2022-07-13,C,N,2022-07-13
655,655,C00146,950,2024-06-13,C,N,2024-06-13
656,656,C00139,1545,2024-01-03,C,N,2024-01-03
657,657,C00018,1541,2023-10-29,O,N,2023-10-29
658,658,C00115,1025,2022-11-23,C,N,2022-11-23
659,659,C00209,297,2023-12-18,C,N,2023-12-18
660,660,C00144,1687,2024-10-15,C,N,2024-10-15
661,661,C00091,23,2024-07-09,C,N,2024-07-09
662,662,C00232,1136,2023-02-07,C,N,2023-02-07
663,663,C00107,1288,2024-08-30,C,N,2024-08-30
664,664,C00043,621,2023-05-15,C,N,2023-05-15
665,665,C00159,1630,2024-06-10,C,N,2024-06-10
666,666,C00180,28,2024-05-13,C,N,2024-05-13
667,667,C00225,363,2025-03-23,O,N,2025-03-23
668,668,C00184,765,2024-09-24,C,N,2024-09-24
669,669,C00203,1167,2023-09-23,C,N,2023-09-23
670,670,C00136,21,2024-01-11,C,N,2024-01-11
671,671,C00155,927,2022-02-06,C,N,2022-02-06
672,672,C00134,583,2024-02-15,C,N,2024-02-15
673,673,C00018,821,2023-01-24,O,N,2023-01-24
674,674,C00178,1425,2025-06-20,C,N,2025-06-20
675,675,C00263,1699,2023-02-02,C,N,2023-02-02
676,676,C00099,788,2022-08-06,C,N,2022-08-06
677,677,C00013,1380,2024-02-18,C,N,2024-02-18
678,678,C00140,1249,2022-04-05,C,N,2022-04-05
679,679,C00045,320,2022-07-10,C,N,2022-07-10
680,680,C00234,1493,2024-04-16,C,N,2024-04-16
681,681,C00239,1077,2022-05-28,O,N,2022-05-28
682,682,C00035,1583,2025-05-25,C,N,2025-05-25
683,683,C00153,1302,2025-05-02,C,N,2025-05-02
684,684,C00231,344,2023-04-29,C,N,2023-04-29
685,685,C00115,1414,2022-01-23,C,N,2022-01-23
686,686,C00258,1063,2023-02-01,C,N,2023-02-01
687,687,C00102,1313,2024-02-29,C,N,2024-02-29
688,688,C00126,224,2022-03-11,C,N,2022-03-11
689,689,C00129,686,2025-02-21,C,N,2025-02-21
690,690,C00052,418,2025-12-02,O,N,2025-12-02
691,691,C00154,356,2025-10-24,C,N,2025-10-24
692,692,C00235,1690,2024-11-30,C,N,2024-11-30
693,693,C00100,1114,2025-12-04,C,N,2025-12-04
694,694,C00124,1488,2024-01-03,O,N,2024-01-03
695,695,C00076,321,2024-01-30,C,N,2024-01-30
696,696,C00241,1304,2025-04-22,C,N,2025-04-22
697,697,C00240,1789,2023-02-21,C,Y,2023-02-21
698,698,C00039,287,2023-09-27,C,N,2023-09-27
699,699,C00012,635,2022-08-14,C,N,2022-08-14
700,700,C00218,1427,2024-02-04,C,N,2024-02-04
701,701,C00044,1447,2022-10-09,C,N,2022-10-09
702,702,C00084,1602,2022-04-17,C,N,2022-04-17
703,703,C00233,1769,2022-07-20,C,N,2022-07-20
704,704,C00205,793,2023-12-10,O,N,2023-12-10
705,705,C00025,884,2023-08-21,C,N,2023-08-21
706,706,C00070,1753,2025-06-08,C,N,2025-06-08
707,707,C00066,1382,2025-12-12,O,N,2025-12-12
708,708,C00003,2,2025-04-18,O,N,2025-04-18
709,709,C00193,240,2024-02-19,C,N,2024-02-19
710,710,C00038,1001,2024-07-05,C,N,2024-07-05
711,711,C00217,607,2023-08-05,C,N,2023-08-05
712,712,C00127,200,2024-04-06,C,N,2024-04-06
713,713,C00208,281,2023-12-13,C,N,2023-12-13
714,714,C00148,1796,2022-08-01,C,N,2022-08-01
715,715,C00018,14,2024-12-10,C,N,2024-12-10
716,716,C00136,1321,2024-11-11,C,N,2024-11-11
717,717,C00230,52,2025-03-30,O,N,2025-03-30
718,718,C00039,1732,2022-07-19,C,N,2022-07-19
719,719,C00082,181,2024-05-14,O,N,2024-05-14
720,720,C00123,1162,2022-07-03,C,N,2022-07-03
721,721,C00070,1286,2023-06-29,C,N,2023-06-29
722,722,C00217,725,2023-04-04,C,N,2023-04-04
723,723,C00134,1236,2022-09-20,C,N,2022-09-20
724,724,C00086,1173,2023-03-12,C,N,2023-03-12
725,725,C00085,840,2024-12-21,C,N,2024-12-21
726,726,C00200,1456,2023-06-22,C,N,2023-06-22
727,727,C00205,1363,2025-01-12,O,N,2025-01-12
728,728,C00214,421,2022-10-15,O,N,2022-10-15
729,729,C00003,299,2023-12-07,C,N,2023-12-07
730,730,C00262,329,2023-03-05,C,N,2023-03-05
731,731,C00122,404,2022-07-15,C,N,2022-07-15
732,732,C00261,1752,2026-02-18,C,N,2026-02-18
733,733,C00140,460,2022-11-10,C,N,2022-11-10
734,734,C00242,1261,2025-03-25,C,N,2025-03-25
735,735,C00038,1740,2024-01-22,O,N,2024-01-22
736,736,C00187,642,2025-01-30,C,N,2025-01-30
737,737,C00004,1491,2024-06-17,C,N,2024-06-17
738,738,C00102,906,2025-03-22,C,N,2025-03-22
739,739,C00029,1466,2022-03-26,C,N,2022-03-26
740,740,C00167,1475,2025-09-11,C,N,2025-09-11
741,741,C00109,1784,2025-01-16,C,N,2025-01-16
742,742,C00212,413,2025-03-28,C,N,2025-03-28
743,743,C00205,462,2024-04-06,C,N,2024-04-06
744,744,C00020,618,2025-06-03,C,N,2025-06-03
745,745,C00218,1223,2025-05-06,C,N,2025-05-06
746,746,C00237,1559,2022-05-28,C,N,2022-05-28
747,747,C00058,60,2023-09-09,O,N,2023-09-09
748,748,C00093,1005,2023-04-14,C,N,2023-04-14
749,749,C00242,806,2024-06-12,C,N,2024-06-12
750,750,C00159,315,2025-11-23,O,N,2025-11-23
751,751,C00136,831,2025-02-04,O,N,2025-02-04
752,752,C00179,661,2022-09-16,C,N,2022-09-16
753,753,C00256,1218,2024-04-27,C,N,2024-04-27
754,754,C00243,1377,2024-01-22,C,N,2024-01-22
755,755,C00045,995,2025-06-12,C,N,2025-06-12
756,756,C00045,426,2022-09-21,C,N,2022-09-21
757,757,C00003,442,2024-05-13,C,N,2024-05-13
758,758,C00046,1441,2022-04-08,C,N,2022-04-08
759,759,C00246,330,2024-04-27,C,N,2024-04-27
760,760,C00042,1300,2022-02-04,C,N,2022-02-04
761,761,C00052,443,2024-05-08,C,N,2024-05-08
762,762,C00081,915,2023-07-15,O,N,2023-07-15
763,763,C00127,403,2022-09-23,O,N,2022-09-23
764,764,C00083,74,2024-04-18,O,N,2024-04-18
765,765,C00009,364,2023-11-19,C,N,2023-11-19
766,766,C00224,1535,2022-01-31,C,N,2022-01-31
767,767,C00170,105,2024-01-11,C,N,2024-01-11
768,768,C00104,525,2024-10-23,C,N,2024-10-23
769,769,C00126,714,2023-01-29,C,N,2023-01-29
770,770,C00023,1330,2025-07-09,C,N,2025-07-09
771,771,C00040,167,2024-08-15,C,N,2024-08-15
772,772,C00171,749,2024-01-13,C,N,2024-01-13
773,773,C00217,256,2022-06-23,O,Y,2022-06-23
774,774,C00204,56,2024-07-17,C,N,2024-07-17
775,775,C00118,1046,2023-10-01,C,N,2023-10-01
776,776,C00173,151,2023-07-16,C,N,2023-07-16
777,777,C00140,1500,2022-11-27,C,N,2022-11-27
778,778,C00007,543,2024-09-22,O,N,2024-09-22
779,779,C00139,1680,2022-07-19,O,N,2022-07-19
780,780,C00129,849,2025-03-07,C,Y,2025-03-07
781,781,C00183,1768,2023-08-01,C,N,2023-08-01
782,782,C00185,988,2022-06-04,C,N,2022-06-04
783,783,C00010,709,2022-11-01,C,N,2022-11-01
784,784,C00102,140,2022-09-22,C,N,2022-09-22
785,785,C00019,580,2022-04-10,C,N,2022-04-10
786,786,C00129,1710,2025-12-23,C,N,2025-12-23
787,787,C00225,868,2025-03-07,C,N,2025-03-07
788,788,C00239,325,2025-05-04,C,N,2025-05-04
789,789,C00046,993,2023-09-16,C,N,2023-09-16
790,790,C00179,359,2022-03-10,C,N,2022-03-10
791,791,C00250,812,2025-10-13,C,N,2025-10-13
792,792,C00053,1608,2023-05-22,C,N,2023-05-22
793,793,C00130,1163,2022-09-01,C,N,2022-09-01
794,794,C00069,513,2023-09-23,O,Y,2023-09-23
795,795,C00114,340,2023-06-29,O,N,2023-06-29
796,796,C00071,1116,2022-03-20,O,N,2022-03-20
797,797,C00175,696,2024-09-12,C,N,2024-09-12
798,798,C00225,878,2024-02-19,C,N,2024-02-19
799,799,C00017,1282,2024-08-11,O,N,2024-08-11
800,800,C00202,1323,2025-08-28,C,N,2025-08-28
801,801,C00095,667,2023-06-27,C,N,2023-06-27
802,802,C00059,1652,2025-09-16,C,N,2025-09-16
803,803,C00020,557,2025-05-01,C,N,2025-05-01
804,804,C00153,156,2022-07-28,C,N,2022-07-28
805,805,C00159,936,2024-09-10,O,N,2024-09-10
806,806,C00220,589,2023-03-18,C,N,2023-03-18
807,807,C00032,1104,2023-01-27,C,N,2023-01-27
808,808,C00234,1062,2024-02-09,C,N,2024-02-09
809,809,C00175,766,2025-06-26,O,N,2025-06-26
810,810,C00025,1226,2023-04-25,C,N,2023-04-25
811,811,C00209,628,2023-10-02,C,N,2023-10-02
812,812,C00097,738,2022-03-07,C,N,2022-03-07
813,813,C00059,1442,2024-08-12,C,N,2024-08-12
814,814,C00223,1722,2025-06-02,O,N,2025-06-02
815,815,C00067,1565,2023-08-20,C,N,2023-08-20
816,816,C00206,1677,2024-02-20,C,N,2024-02-20
817,817,C00042,1568,2023-07-26,C,N,2023-07-26
818,818,C00111,72,2023-03-19,C,N,2023-03-19
819,819,C00173,5,2025-01-06,C,N,2025-01-06
820,820,C00097,360,2025-06-25,C,N,2025-06-25
821,821,C00258,1648,2024-10-26,C,N,2024-10-26
822,822,C00257,573,2023-02-15,O,N,2023-02-15
823,823,C00042,624,2023-10-23,C,N,2023-10-23
824,824,C00048,523,2024-06-01,C,N,2024-06-01
825,825,C00044,512,2025-08-28,O,N,2025-08-28
826,826,C00058,646,2023-03-17,C,N,2023-03-17
827,827,C00162,984,2024-02-29,C,N,2024-02-29
828,828,C00174,1474,2024-12-28,C,N,2024-12-28
829,829,C00022,779,2024-05-29,C,N,2024-05-29
830,830,C00043,1536,2024-09-06,O,N,2024-09-06
831,831,C00243,1504,2025-03-14,C,N,2025-03-14
832,832,C00219,284,2023-11-05,O,N,2023-11-05
833,833,C00181,658,2024-06-18,C,N,2024-06-18
834,834,C00080,1697,2024-11-08,O,N,2024-11-08
835,835,C00226,1708,2025-05-25,O,N,2025-05-25
836,836,C00247,1000,2023-03-12,C,N,2023-03-12
837,837,C00200,148,2022-02-14,C,N,2022-02-14
838,838,C00246,721,2024-06-21,O,N,2024-06-21
839,839,C00032,168,2024-04-16,C,N,2024-04-16
840,840,C00130,899,2024-04-12,C,N,2024-04-12
841,841,C00264,126,2023-01-21,C,N,2023-01-21
842,842,C00199,1197,2024-08-11,C,N,2024-08-11
843,843,C00061,1556,2023-04-11,C,N,2023-04-11
844,844,C00161,630,2022-06-19,C,N,2022-06-19
845,845,C00063,1388,2023-05-29,C,N,2023-05-29
846,846,C00124,921,2023-03-06,O,N,2023-03-06
847,847,C00233,737,2023-07-06,O,N,2023-07-06
848,848,C00230,565,2022-08-29,C,N,2022-08-29
849,849,C00183,656,2025-01-04,C,N,2025-01-04
850,850,C00186,1265,2022-12-25,C,N,2022-12-25
851,851,C00090,186,2024-06-24,C,N,2024-06-24
852,852,C00016,1269,2024-05-04,C,N,2024-05-04
853,853,C00042,1610,2023-11-08,O,N,2023-11-08
854,854,C00204,1124,2022-07-06,C,N,2022-07-06
855,855,C00074,611,2022-09-30,C,N,2022-09-30
856,856,C00111,1401,2023-10-03,C,N,2023-10-03
857,857,C00094,1159,2022-07-10,O,N,2022-07-10
858,858,C00086,872,2024-11-28,C,N,2024-11-28
859,859,C00159,1326,2022-01-08,C,N,2022-01-08
860,860,C00202,1571,2024-10-10,C,N,2024-10-10
861,861,C00249,942,2022-07-01,C,N,2022-07-01
862,862,C00053,1384,2022-08-07,C,N,2022-08-07
863,863,C00091,1169,2025-11-12,C,N,2025-11-12
864,864,C00237,912,2025-09-19,C,N,2025-09-19
865,865,C00156,350,2023-10-18,C,N,2023-10-18
866,866,C00184,669,2025-04-11,C,N,2025-04-11
867,867,C00122,1497,2024-11-10,C,N,2024-11-10
868,868,C00110,1454,2025-12-26,C,N,2025-12-26
869,869,C00171,395,2024-04-08,C,N,2024-04-08
870,870,C00202,1093,2023-11-01,C,N,2023-11-01
871,871,C00130,1651,2024-11-16,O,N,2024-11-16
872,872,C00101,142,2024-05-05,O,N,2024-05-05
873,873,C00175,867,2023-09-16,C,N,2023-09-16
874,874,C00161,717,2025-02-16,C,N,2025-02-16
875,875,C00139,218,2025-02-26,C,N,2025-02-26
876,876,C00144,781,2022-11-21,C,N,2022-11-21
877,877,C00130,93,2024-04-06,C,N,2024-04-06
878,878,C00219,346,2022-02-19,C,N,2022-02-19
879,879,C00199,972,2023-02-11,O,N,2023-02-11
880,880,C00065,832,2023-01-12,C,N,2023-01-12
881,881,C00263,724,2023-12-11,C,N,2023-12-11
882,882,C00194,1088,2023-05-09,C,Y,2023-05-09
883,883,C00261,37,2022-07-01,C,N,2022-07-01
884,884,C00089,1633,2022-07-09,C,N,2022-07-09
885,885,C00208,1301,2024-09-08,C,N,2024-09-08
886,886,C00211,1148,2025-11-01,O,N,2025-11-01
887,887,C00110,1024,2025-01-22,C,N,2025-01-22
888,888,C00181,1463,2025-12-18,C,N,2025-12-18
889,889,C00157,593,2022-03-22,C,N,2022-03-22
890,890,C00250,1729,2023-08-03,C,N,2023-08-03
891,891,C00025,1522,2022-09-30,O,N,2022-09-30
892,892,C00218,1130,2025-05-28,O,N,2025-05-28
893,893,C00107,349,2022-07-11,O,N,2022-07-11
894,894,C00163,572,2025-07-21,C,N,2025-07-21
895,895,C00146,133,2025-05-22,C,N,2025-05-22
896,896,C00086,1402,2024-05-18,O,N,2024-05-18
897,897,C00052,39,2023-02-13,O,N,2023-02-13
898,898,C00067,85,2026-01-27,C,N,2026-01-27
899,899,C00060,1335,2024-04-01,C,N,2024-04-01
900,900,C00056,1004,2023-05-23,O,N,2023-05-23
901,901,C00116,337,2023-02-05,C,N,2023-02-05
902,902,C00224,1772,2025-01-10,O,N,2025-01-10
903,903,C00128,1712,2022-03-08,C,N,2022-03-08
904,904,C00210,1376,2025-06-27,C,N,2025-06-27
905,905,C00063,71,2024-11-07,O,N,2024-11-07
906,906,C00090,197,2023-02-22,C,N,2023-02-22
907,907,C00038,288,2025-12-12,C,N,2025-12-12
908,908,C00258,406,2024-09-10,C,N,2024-09-10
909,909,C00104,530,2023-01-03,C,N,2023-01-03
910,910,C00181,1477,2023-10-20,C,N,2023-10-20
911,911,C00056,515,2023-08-16,C,N,2023-08-16
912,912,C00249,951,2024-12-30,C,N,2024-12-30
913,913,C00067,1362,2022-07-24,C,N,2022-07-24
914,914,C00052,751,2025-07-28,C,N,2025-07-28
915,915,C00079,1121,2022-07-02,C,N,2022-07-02
916,916,C00147,1184,2025-02-11,C,N,2025-02-11
917,917,C00021,552,2026-01-09,C,N,2026-01-09
918,918,C00218,41,2022-08-06,C,N,2022-08-06
919,919,C00259,758,2025-10-02,C,N,2025-10-02
920,920,C00009,64,2023-08-02,C,N,2023-08-02
921,921,C00184,1285,2023-03-31,C,N,2023-03-31
922,922,C00128,1085,2023-03-22,O,N,2023-03-22
923,923,C00115,957,2025-02-16,C,N,2025-02-16
924,924,C00048,1211,2023-01-03,C,N,2023-01-03
925,925,C00201,185,2022-01-19,O,N,2022-01-19
926,926,C00118,1139,2024-05-25,C,N,2024-05-25
927,927,C00102,1612,2025-10-24,C,N,2025-10-24
928,928,C00192,693,2022-01-25,O,N,2022-01-25
929,929,C00063,819,2024-04-18,C,N,2024-04-18
930,930,C00112,1193,2023-04-09,C,N,2023-04-09
931,931,C00074,478,2024-01-25,C,N,2024-01-25
932,932,C00179,564,2023-07-09,C,N,2023-07-09
933,933,C00225,1788,2023-05-23,O,N,2023-05-23
934,934,C00093,1793,2024-08-18,O,N,2024-08-18
935,935,C00122,769,2022-04-25,C,N,2022-04-25
936,936,C00268,75,2022-04-20,C,N,2022-04-20
937,937,C00153,1412,2023-03-06,C,N,2023-03-06
938,938,C00083,569,2022-12-09,C,N,2022-12-09
939,939,C00210,780,2023-08-06,O,N,2023-08-06
940,940,C00101,1558,2024-12-08,O,N,2024-12-08
941,941,C00247,165,2022-03-11,O,N,2022-03-11
942,942,C00129,1759,2022-09-27,C,N,2022-09-27
943,943,C00137,147,2023-08-12,C,N,2023-08-12
944,944,C00032,1517,2024-12-03,O,N,2024-12-03
945,945,C00041,1472,2023-06-11,C,N,2023-06-11
946,946,C00262,65,2025-04-30,C,N,2025-04-30
947,947,C00161,647,2024-12-31,C,N,2024-12-31
948,948,C00075,759,2024-11-22,C,Y,2024-11-22
949,949,C00075,1464,2025-08-03,C,N,2025-08-03
950,950,C00243,1440,2022-05-04,C,N,2022-05-04
951,951,C00068,1794,2023-04-06,C,N,2023-04-06
952,952,C00201,883,2022-07-20,C,N,2022-07-20
953,953,C00099,489,2023-06-01,O,N,2023-06-01
954,954,C00231,1734,2024-10-17,O,N,2024-10-17
955,955,C00200,1703,2025-01-24,C,N,2025-01-24
956,956,C00059,1230,2024-06-09,O,N,2024-06-09
957,957,C00046,1417,2025-10-04,C,N,2025-10-04
958,958,C00129,202,2023-06-10,C,N,2023-06-10
959,959,C00205,1239,2024-01-05,C,N,2024-01-05
960,960,C00006,1631,2023-12-02,C,N,2023-12-02
961,961,C00116,149,2025-03-24,C,N,2025-03-24
962,962,C00030,437,2025-07-28,O,N,2025-07-28
963,963,C00261,1156,2025-02-20,O,N,2025-02-20
964,964,C00108,1681,2022-11-18,C,N,2022-11-18
965,965,C00256,1616,2022-12-18,O,N,2022-12-18
966,966,C00229,1468,2025-05-08,C,N,2025-05-08
967,967,C00061,1191,2024-04-04,C,N,2024-04-04
968,968,C00057,158,2022-05-01,C,N,2022-05-01
969,969,C00052,1669,2024-08-07,O,N,2024-08-07
970,970,C00017,673,2023-01-03,C,N,2023-01-03
971,971,C00268,764,2022-04-13,C,N,2022-04-13
972,972,C00152,1539,2023-04-16,C,N,2023-04-16
973,973,C00235,563,2023-12-18,C,N,2023-12-18
974,974,C00205,227,2025-12-03,C,N,2025-12-03
975,975,C00022,1709,2022-12-25,C,Y,2022-12-25
976,976,C00167,1246,2025-07-26,C,N,2025-07-26
977,977,C00138,663,2025-07-05,C,N,2025-07-05
978,978,C00157,1774,2023-01-12,C,N,2023-01-12
